symbol,name,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm),shares,currency,jakota_indicies
5233.TWO,Amita Technologies Inc. ,Taiwan,Electrical Components and Equipment,406,41,277,0,TWD,"[]"
4771.TWO,Vizionfocus Inc. ,Taiwan,Health Care Supplies,391,68,53,0,TWD,"[]"
1563.TWO,SuperAlloy Industrial Co. Ltd. ,Taiwan,Automotive Parts and Equipment,389,217,214,0,TWD,"[]"
01007T.TW,Cathay No.2 REIT,Taiwan,Office REITs,384,16,720,0,TWD,"[]"
6937.TWO,Skytech Inc. ,Taiwan,Semiconductor Materials and Equipment,373,59,61,0,TWD,"[tech-100,semiconductors-25]"
6873.TW,HD Renewable Energy Co. Ltd. ,Taiwan,Renewable Electricity,349,192,100,0,TWD,"[]"
439090.KQ,Manyo Factory Co. Ltd ,South Korea,Personal Care Products,344,81,16,0,KRW,"[consumer-50]"
354320.KQ,ALMAC Co. Ltd. ,South Korea,Automotive Parts and Equipment,342,167,6,0,KRW,"[]"
6854.TW,PlayNitride Inc. ,Taiwan,Semiconductors,340,18,107,0,TWD,"[]"
6811.TWO,Acer E-Enabling Service Business Inc. ,Taiwan,IT Consulting and Other Services,332,242,41,0,TWD,"[]"
5574.TSE,ABEJA Inc. ,Japan,Application Software,328,14,9,8598900,JPY,"[tech-100]"
6885.TWO,BRIM Biotechnology Inc. ,Taiwan,Biotechnology,324,-,138,0,TWD,"[]"
6875.TWO,Pharmosa Biopharm Inc. ,Taiwan,Biotechnology,320,-,117,0,TWD,"[]"
6535.TWO,Lumosa Therapeutics Co. Ltd. ,Taiwan,Pharmaceuticals,316,1,163,0,TWD,"[]"
01004T.TW,Fubon No.2 Real Estate Investment Trust,Taiwan,Office REITs,310,17,730,0,TWD,"[]"
4772.TWO,Taiwan Speciality Chemicals Corporation ,Taiwan,Specialty Chemicals,310,14,138,0,TWD,"[]"
425040.KQ,TEMC Co. Ltd. ,South Korea,Semiconductor Materials and Equipment,308,283,11,0,KRW,"[tech-100,semiconductors-25]"
118990.KQ,Motrex Co. Ltd ,South Korea,Automotive Parts and Equipment,302,470,24,0,KRW,"[]"
348340.KQ,Neuromeka Co.Ltd. ,South Korea,Industrial Machinery and Supplies and Components,302,7,10,0,KRW,"[]"
6940.TWO,Gus Technology Co. Ltd. ,Taiwan,Electrical Components and Equipment,293,1,214,0,TWD,"[]"
6291.TWO,Analog Integrations Corporation ,Taiwan,Semiconductors,288,52,42,0,TWD,"[]"
206650.KQ,EuBiologics Co. Ltd. ,South Korea,Biotechnology,283,47,36,0,KRW,"[]"
6914.TWO,PSS Co.Ltd. ,Taiwan,Electronic Equipment and Instruments,283,123,60,0,TWD,"[tech-100]"
6932.TWO,Mercury Biopharmaceutical Corporation ,Taiwan,Pharmaceuticals,278,0,416,0,TWD,"[]"
6923.TWO,CHUNGTAI RESOURCE Technology CORP. ,Taiwan,Environmental and Facilities Services,277,34,83,0,TWD,"[]"
6785.TWO,Alar Pharmaceuticals Inc. ,Taiwan,Pharmaceuticals,277,0,57,0,TWD,"[]"
6841.TWO,Ever Fortune.AI Co. Ltd. ,Taiwan,Health Care Technology,271,2,89,0,TWD,"[]"
6826.TWO,Taiwan Puritic Corp. ,Taiwan,Semiconductor Materials and Equipment,270,494,61,0,TWD,"[tech-100,semiconductors-25]"
6903.TWO,Jiu Han System Technology Co. Ltd. ,Taiwan,Construction and Engineering,264,114,61,0,TWD,"[]"
6944.TWO,Mega Union Technology Inc. ,Taiwan,Industrial Machinery and Supplies and Components,262,309,61,0,TWD,"[]"
425420.KQ,Tfe Inc. ,South Korea,Semiconductor Materials and Equipment,256,50,11,0,KRW,"[tech-100,semiconductors-25]"
6696.TWO,Lin BioScience Inc. ,Taiwan,Biotechnology,256,-,73,0,TWD,"[]"
2644.TWO,Jong Shyn Shipbuilding Co. Ltd. ,Taiwan,Construction Machinery and Heavy Transportation Equipment,255,129,80,0,TWD,"[]"
418470.KQ,Millie Seojae. ,South Korea,Publishing,249,39,8,0,KRW,"[]"
4768.TWO,Ingentec Corporation ,Taiwan,Specialty Chemicals,247,36,39,0,TWD,"[]"
6763.TWO,Green World Fintech Service Co. Ltd. ,Taiwan,Transaction and Payment Processing Services,241,50,18,0,TWD,"[]"
01002T.TW,Cathay No.1 REIT,Taiwan,Diversified REITs,772,25,1393,0,TWD,"[]"
01003T.TW,Shin Kong No. 1 REIT,Taiwan,Diversified REITs,764,25,1130,0,TWD,"[]"
01010T.TW,King's Town Millerful No.1 Real Estate Investment Trust,Taiwan,Diversified REITs,515,30,1658,0,TWD,"[]"
01007T.TW,Cathay No.2 REIT,Taiwan,Office REITs,384,16,720,0,TWD,"[]"
01004T.TW,Fubon No.2 Real Estate Investment Trust,Taiwan,Office REITs,310,17,730,0,TWD,"[]"
