no,code,name,industry_code,industry,shares,capital_stock,par_value
168,1140,KUKBO,84903,Road Freight Transport,12389769,61948845000,5000
547,1200,EUGENEIS,116601,Activities Auxiliary to Financial Service Activities,96866418,537592090000,5000
178,1210,KUMHO ELEC,32804,Manufacture of Electric Lamps and Bulbs,36692475,18346237500,500
251,1230,DONGKUK HOLDINGS,32401,Manufacture of Basic Iron and Steel,15926064,191694670000,5000
32,1250,GS Global,74608,Wholesale of Non-Specialized Goods,82533764,206334410000,2500
185,1260,NAMKWANG ENG &amp; CONS,64102,Heavy Construction,9832572,49162860000,5000
344,1270,BOOKOOK SECU,116601,Activities Auxiliary to Financial Service Activities,10369886,66849430000,5000
398,1290,SANGSANGININV&amp;SEC,116601,Activities Auxiliary to Financial Service Activities,108337120,109640596000,1000
336,1340,PAIKKWANG IND,32001,Manufacture of Basic Chemicals,44918407,22459203500,500
369,1360,SAMSUNG PHARM,32102,Manufacture of Medicaments,67162079,33581039500,500
107,1380,SG GLOBAL,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),44964143,22482071500,500
64,1390,KGC,32001,Manufacture of Basic Chemicals,68469040,71128350000,1000
673,1420,TAEWONMULSAN,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),7600000,3800000000,500
419,1430,SBHC,32401,Manufacture of Basic Iron and Steel,35862119,219310595000,5000
234,1440,TAIHAN ELEC WIRE,32803,Manufacture of Electric Lamps and Bulbs,124447300,124447300000,1000
809,1450,HYUNDAIMAR&amp;FIREINS,116501,Insurance,89400000,44700000000,500
6,1460,BYC,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,624615,4200000000,5000
358,1470,SAMBU CONST,64102,Heavy Construction,204259254,204259254000,1000
805,1500,HMSEC,116601,Activities Auxiliary to Financial Service Activities,31712562,158562810000,5000
125,1510,SK SECU,116601,Activities Auxiliary to Financial Service Activities,472590171,238251342500,500
263,1520,TONGYANG,32303,Manufacture of Cement Lime and Plaster and Its Products,238684063,119805181500,500
286,1530,DI DONG IL,74601,Wholesale on a Fee or Contract Basis,26040677,13020338500,500
1620,1540,AHN-GOOK PHA,32102,Manufacture of Medicaments,13042420,6521210000,500
602,1550,CHOBI,32003,Manufacture of Fertilizers Pesticides Germicides and Insecticides,5192239,25961195000,5000
596,1560,CHEIL GRINDING WHEE,32309,Manufacture of Other Non-metallic Mineral Products,10000000,5000000000,500
174,1570,KY,32001,Manufacture of Basic Chemicals,58050037,29025018500,500
631,1620,KBIDK,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),111293031,55646515500,500
609,1630,CHONGKUNDANG HOLDINGS,32102,Manufacture of Medicaments,5009861,12524652500,2500
212,1680,DAESANG,31007,Manufacture of Other Food Products,34648025,36018248000,1000
451,1720,SHINYOUNG SECU,116601,Activities Auxiliary to Financial Service Activities,9386237,82200000000,5000
115,1740,SKNetworksCo.Ltd,74607,Other Specialized Wholesale,235778265,620469117500,2500
759,1750,HANYANG SECU,116601,Activities Auxiliary to Financial Service Activities,12728534,66267670000,5000
109,1770,SHD,32401,Manufacture of Basic Iron and Steel,1214878,6074390000,5000
480,1780,ALUKO,32402,Manufacture of Basic Precious and Non-ferrous Metals,96414332,48207166000,500
236,1790,TS,31006,Manufacture of Grain Mill Products Starches and Starch Products,89696580,48089670000,500
521,1800,ORION Holdings,116409,Other Financial Intermediation,62645422,31322711000,500
1270,1810,M.S,31701,Manufacture of Pulp Paper and Paperboard,22137500,11068750000,500
396,1820,SAMWHA CAPACITOR,32602,Manufacture of Electronic Components,10395000,10395000000,1000
2007,1840,Eehwa,64101,Building Construction,19805760,9902880000,500
19,1880,DL Con,64101,Building Construction,22053284,110266420000,5000
67,1940,KISCO Holdings,32401,Manufacture of Basic Iron and Steel,16176380,18476380000,1000
651,2020,KOLON CORP,116409,Other Financial Intermediation,12626426,68514080000,5000
470,2030,ASIA HOLDINGS,137105,Activities of Head Offices Management Consultancy Activities,2136004,10955120000,5000
348,2070,VIVIEN,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,29793990,14896995000,500
147,2100,KYUNGNONG,32003,Manufacture of Fertilizers Pesticides Germicides and Insecticides,19522575,10845875000,500
157,2140,KOR IND,31006,Manufacture of Grain Mill Products Starches and Starch Products,24939425,24939425000,1000
248,2150,DOHWA ENGINEERING,137201,Architectural Engineering and Related Technical Services,33720000,16860000000,500
378,2170,SAMYANGTONGSANG,31501,Manufacture of Luggage Footwear and Similar Products,3000000,15000000000,5000
717,2200,KOR EXPT PKG IND,31702,Manufacture of Corrugated Cardboard Paper Boxes and Paper Containers,40000000,20000000000,500
257,2210,DONGSUNG PHARM,32102,Manufacture of Medicaments,26100970,26100970000,1000
764,2220,HANIL IRON &amp; STL,32401,Manufacture of Basic Iron and Steel,26697460,13348730000,500
2375,2230,PSTEC,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,19370673,9834621500,500
159,2240,KIS WIRE,32401,Manufacture of Basic Iron and Steel,25000000,25000000000,1000
1386,2290,SAMIL ENTERPRISE,64101,Building Construction,12400000,6200000000,500
472,2310,ASIA PAPR MFG,31702,Manufacture of Corrugated Cardboard Paper Boxes and Paper Containers,8956502,44782510000,5000
770,2320,HANJIN TRNSPT,84903,Road Freight Transport,14947628,74738140000,5000
191,2350,NEXEN TIRE,32201,Manufacture of Rubber Products,97667877,54083938500,500
110,2360,SH ENERCHEM,32001,Manufacture of Basic Chemicals,111133730,55566865000,500
633,2380,KCC,32004,Manufacture of Other Chemical Products,8886471,48084660000,5000
739,2390,HANDOK,32102,Manufacture of Medicaments,13763533,6881766500,500
338,2410,BUMYANG CONST,64101,Building Construction,24831982,24831982000,1000
416,2420,CENTURY,74707,Retail Sale of Fuel,5558848,2779424000,500
386,2450,SAMICK MUS INSTR,33302,Manufacture of Musical Instruments,90530915,45265457500,500
815,2460,HWASUNG IND,64101,Building Construction,10150000,62254000000,5000
606,2600,CHOHEUNG,31007,Manufacture of Other Food Products,600000,3000000000,5000
597,2620,JEIL PHARMA HOLDINGS,137105,Activities of Head Offices Management Consultancy Activities,15973355,7986677500,500
519,2630,OBI,32102,Manufacture of Medicaments,118583005,59291502500,500
2463,2680,Hantop,31006,Manufacture of Grain Mill Products Starches and Starch Products,29994817,14997408500,500
275,2690,DONG IL STEEL MFG,32401,Manufacture of Basic Iron and Steel,20300360,10150180000,500
453,2700,SHINIL ELECTRONICS,74605,Wholesale of Machinery Equipment and Supplies,71047521,35523760500,500
139,2710,TCC STEEL,32401,Manufacture of Basic Iron and Steel,26213697,26213697000,1000
169,2720,Kukje Pharma,32102,Manufacture of Medicaments,21159832,21159832000,1000
340,2760,BOLAK,32004,Manufacture of Other Chemical Products,59900000,11980000000,200
621,2780,CHINHUNG INT,64102,Heavy Construction,145471745,73311885500,500
469,2790,AMORE Group,32004,Manufacture of Other Chemical Products,82458180,47997075000,500
1519,2800,SINSIN PHARM,32102,Manufacture of Medicaments,15170500,7585250000,500
382,2810,SAMYUNG TRDG,74607,Other Specialized Wholesale,18466948,9233474000,500
138,2820,SUN&amp;L,31602,Manufacture of Wood Products,12607989,12607989000,1000
328,2840,MIWON COMCL,32004,Manufacture of Other Chemical Products,4850000,6661780000,500
454,2870,SHINPOONG,74607,Other Specialized Wholesale,34958700,17479350000,500
228,2880,DAYOU A-TECH,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),116190505,58095252500,500
140,2900,TYM,32902,Manufacture of Special-Purpose Machinery,45050956,112627390000,2500
542,2920,YOOSUNG ENT,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),25947500,12973750000,500
718,2960,HANKOOK SHELL OIL,31902,Manufacture of Refined Petroleum Products,1300000,7000000000,5000
175,2990,KUMHO E&amp;C,64101,Building Construction,36953595,186229305000,5000
343,3000,BUKWANG PHARM,32102,Manufacture of Medicaments,71063049,36401993000,500
812,3010,HAEIN CORP,74605,Wholesale of Machinery Equipment and Supplies,12712747,6356373500,500
421,3030,SeAH Steel Holdings,116409,Other Financial Intermediation,4141657,20708285000,5000
498,3060,Aprogen Biologics,32102,Manufacture of Medicaments,665754689,332877344500,500
652,3070,KolonGlobal,64102,Heavy Construction,18932713,98367250000,5000
412,3080,SUNGBO CHEM,32003,Manufacture of Fertilizers Pesticides Germicides and Insecticides,20020000,10010000000,500
222,3090,DAEWOONG,32102,Manufacture of Medicaments,58141980,29070990000,500
1430,3100,SUN KWANG,85209,Other Services Allied to Transport Agency,6600000,6600000000,1000
577,3120,ILSUNG PHARM,32102,Manufacture of Medicaments,13300000,13300000000,1000
285,3160,DI,32702,Manufacture of Instruments and Appliances for Measuring Checking Testing Navigating controlling and Other Purposes Except Optical Instruments,28300000,17248392500,500
578,3200,ILSHIN SPNG,31301,Spinning of Textiles and Processing of Threads and Yarns,23280000,12000000000,500
226,3220,DAEWON PHARM,32102,Manufacture of Medicaments,21964670,10982335000,500
377,3230,SAMYANG FOOD,31007,Manufacture of Other Food Products,7533015,37665075000,5000
669,3240,TAEKWANG IND,32005,Manufacture of Man-Made Fibers,1113400,5567000000,5000
838,3280,HEUNG-A SHIPPING,85001,Sea and Coastal Water Transport,240424899,120212449500,500
766,3300,HANIL HOLDINGS,32303,Manufacture of Cement Lime and Plaster and Its Products,30832884,33359554000,1000
1097,3310,Daejoo,31008,Manufacture of Livestock Feeds and Prepared Animal Feeds,35392350,18696175000,500
737,3350,HKCManufacture,32004,Manufacture of Other Chemical Products,4532000,2266000000,500
2408,3380,Harim Holdings,116409,Other Financial Intermediation,112005621,11242047800,100
461,3410,SSANGYONGCNE,32303,Manufacture of Cement Lime and Plaster and Its Products,503859595,50385959500,100
549,3460,YUHWA SECU,116601,Activities Auxiliary to Financial Service Activities,56702415,74178840000,1000
544,3470,Yuanta Securities,116601,Activities Auxiliary to Financial Service Activities,199596576,1062543940000,5000
771,3480,HHIC HOLDINGS,43502,Manufacture of Gas Distribution of Gaseous Fuel Through Mains,29529812,155149060000,5000
238,3490,KAL,85101,Passenger Air Transport,368220661,1846657275000,5000
512,3520,YUNGJIN PHARM,32102,Manufacture of Medicaments,182892731,91446365500,500
785,3530,H.I.S.C,116601,Activities Auxiliary to Financial Service Activities,214547775,1096738875000,5000
217,3540,DAISHIN SECU,116601,Activities Auxiliary to Financial Service Activities,50773400,434867000000,5000
75,3550,LG Corp.,116409,Other Financial Intermediation,157300993,801613065000,5000
478,3560,IHQ,105901,Motion Picture Video Broadcasting Programmes Production and Distribution,16153043,8076521500,500
129,3570,SNT DYNAMICS,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),33252697,85631742500,2500
47,3580,HLB GLOBAL,20702,Mining of Other Non-Metal Ores,42380273,21190136500,500
335,3610,PANGRIM,31302,Weaving of Textiles and Manufacture of Textile Products,42314090,21157045000,500
62,3620,KG Mobility,33001,Manufacture of Motor Vehicles and Engines for Motor Vehicles,186956024,934780120000,5000
332,3650,MICHANG OIL,31902,Manufacture of Refined Petroleum Products,1739672,8698360000,5000
695,3670,POSCO FUTURE M,32802,Manufacture of Primary Cells and Batteries and Accumulators,77463220,38731610000,500
746,3680,HANSUNG ENT,31002,Processing and Preserving of Fishes and Edible Seaweeds,6209515,31047575000,5000
645,3690,Korean Re,116502,Reinsurance,140822939,70411469500,500
381,3720,SAMYOUNG,32202,Manufacture of Plastic Products,34000000,17000000000,500
615,3780,CHIN YANG INDUSTRY,32202,Manufacture of Plastic Products,13000000,6500000000,500
1702,3800,AceBed,33201,Manufacture of Furniture,11090000,11090000000,1000
240,3830,DAEHAN SYNTH FIBR,32005,Manufacture of Man-Made Fibers,1328000,6640000000,5000
341,3850,Boryung,32102,Manufacture of Medicaments,68690000,34345000000,500
188,3920,NAMYANG DAIRY,31005,Manufacture of Dairy Products and edible Ice Cakes,720000,4600000000,5000
353,3960,SJDR,31002,Processing and Preserving of Fishes and Edible Seaweeds,9164467,45822335000,5000
299,4000,LOTTE Fine Chem,32001,Manufacture of Basic Chemicals,25800000,129000000000,5000
803,4020,HYUNDAI STEEL,32401,Manufacture of Basic Iron and Steel,133445785,667228925000,5000
108,4060,SG CORPORATION,74608,Wholesale of Non-Specialized Goods,202424960,101212480000,500
459,4080,SHINHUNG,74605,Wholesale of Machinery Equipment and Supplies,9500000,6733070000,500
716,4090,KOR PETRO,32309,Manufacture of Other Non-metallic Mineral Products,12694120,6347060000,500
671,4100,TAEYANG MTL,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),36700000,20000000000,500
253,4140,DONGBANG TRNSPT &amp; L,85209,Other Services Allied to Transport Agency,47971766,47971766000,1000
755,4150,HANSOL HOLDINGS,116409,Other Financial Intermediation,42008577,42008577000,1000
444,4170,SHINSEGAE,74701,Retail Sale in Non-Specialized Stores,9845181,49225905000,5000
505,4250,NPC,32202,Manufacture of Plastic Products,36720000,21000000000,500
187,4270,NAMSUNG,74607,Other Specialized Wholesale,36212160,18106080000,500
798,4310,HYUNDAI PHARM,32102,Manufacture of Medicaments,32000000,16000000000,500
417,4360,SEBANG,84903,Road Freight Transport,19308690,11498970000,500
198,4370,NONGSHIM,31007,Manufacture of Other Food Products,6082642,30413210000,5000
385,4380,SAMICK THK,32901,Manufacture of General Purpose Machinery,21000000,10500000000,500
406,4410,SEOUL FOOD IND,31007,Manufacture of Other Food Products,374755559,37698005900,100
433,4430,SONGWON IND,32004,Manufacture of Other Chemical Products,24000000,12000000000,500
387,4440,SAMIL C&amp;S,32303,Manufacture of Cement Lime and Plaster and Its Products,12731947,12731947000,1000
393,4450,SAMHWA CROWN &amp; CLOS,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,2154379,10771895000,5000
418,4490,SGBC,32802,Manufacture of Primary Cells and Batteries and Accumulators,14000000,7000000000,500
184,4540,KleanNara,31701,Manufacture of Pulp Paper and Paperboard,37240693,37606853000,1000
797,4560,HYUNDAI BNG STEEL,32401,Manufacture of Basic Iron and Steel,15078811,75394055000,5000
2422,4590,KoreaFurni,74604,Wholesale of Household Goods,15000000,1500000000,100
2130,4650,Changhae Ethanol,31101,Manufacture of Alcoholic Beverages,9190885,4595442500,500
391,4690,SAMCHULLY,43502,Manufacture of Gas Distribution of Gaseous Fuel Through Mains,4055025,20275125000,5000
601,4700,CHOKWANG LEAT,31501,Manufacture of Luggage Footwear and Similar Products,6649138,34245690000,5000
753,4710,Hansol Technics,32602,Manufacture of Electronic Components,32109878,160549390000,5000
686,4720,PharmGen Science,32102,Manufacture of Medicaments,15997793,7998896500,500
462,4770,SUNNY ELEC,32602,Manufacture of Electronic Components,34845011,18372505500,500
1072,4780,Daeryuk,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,15903199,7951599500,500
826,4800,HYOSUNG,116409,Other Financial Intermediation,21071025,105355125000,5000
245,4830,DUKSUNG,32202,Manufacture of Plastic Products,15680000,8536000000,500
22,4840,DRB Holding,32201,Manufacture of Rubber Products,19930000,9965000000,500
682,4870,Tway Holdings,32303,Manufacture of Cement Lime and Plaster and Its Products,111582903,55791451500,500
274,4890,DIC,32401,Manufacture of Basic Iron and Steel,2425215,12126075000,5000
600,4910,CHOKWANG PAINT,32004,Manufacture of Other Chemical Products,12800000,6400000000,500
464,4920,CITECH,33309,Other Manufacturing n.e.c.,49465796,24732898000,500
757,4960,HANSHIN CONST,64101,Building Construction,11570702,57853510000,5000
441,4970,SILLA,10301,Fishing and Gathering of Marine Materials,16000000,8000000000,500
413,4980,SUNGSHIN CEMENT,32303,Manufacture of Cement Lime and Plaster and Its Products,24516073,128508590000,5000
301,4990,LOTTE,116409,Other Financial Intermediation,104909237,21142968000,200
836,5010,HUSTEEL,32401,Manufacture of Basic Iron and Steel,56188075,56188075000,1000
347,5030,PUSAN CAST IRON,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),78782988,39391494000,500
648,5070,COSMO AM&amp;T,32004,Manufacture of Other Chemical Products,30650756,30650756000,1000
106,5090,SGC Energy,43501,Production Collection and Distribution of Electricity,14677004,73385020000,5000
773,5110,HANCHANG,74605,Wholesale of Machinery Equipment and Supplies,93032033,46516016500,500
1124,5160,DONGKUK,32401,Manufacture of Basic Iron and Steel,54244482,54244482000,1000
352,5180,BINGGRAE,31005,Manufacture of Dairy Products and edible Ice Cakes,9851241,49756205000,5000
197,5250,GCH Corp,137105,Activities of Head Offices Management Consultancy Activities,47028210,25744900000,500
1141,5290,DONGJIN,32001,Manufacture of Basic Chemicals,51414494,25707247000,500
302,5300,LOTTE CHILSUNG,31102,Manufacture of Ice and Non-alcoholic Beverages Production of Mineral Waters,9278884,5027097000,500
167,5320,KUKDONG,74604,Wholesale of Household Goods,57371525,28685762500,500
315,5360,MONAMI,74604,Wholesale of Household Goods,18897307,18897307000,1000
802,5380,HYUNDAI MTR,33001,Manufacture of Motor Vehicles and Engines for Motor Vehicles,211531506,1488993125000,5000
443,5390,SHINSUNG TONGSANG,74607,Other Specialized Wholesale,143708390,71854195000,500
649,5420,COSMO CHEM,32004,Manufacture of Other Chemical Products,35008228,35008228000,1000
711,5430,KOR APO SVC,85209,Other Services Allied to Transport Agency,3166355,15831775000,5000
804,5440,HYUNDAI G.F. HOLDINGS,116409,Other Financial Intermediation,162399732,81199866000,500
103,5490,POSCO Holdings,32401,Manufacture of Basic Iron and Steel,84571230,482403125000,5000
390,5500,SAMJIN PHARM,32102,Manufacture of Medicaments,13900000,13900000000,1000
133,5610,SPC SAMLIP,31007,Manufacture of Other Food Products,8629009,43145045000,5000
2346,5670,FOODWELL,31003,Processing and Preserving of Fruit and Vegetables,10000000,5000000000,500
383,5680,SAMYOUNG ELEC,32602,Manufacture of Electronic Components,20000000,10000000000,500
684,5690,Pharmicell,32101,Manufacture of Medicinal Chemicals Antibiotics and Biological Products,60016964,30008482000,500
1093,5710,Daewonsanup,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),20037600,10018800000,500
190,5720,NXN,32201,Manufacture of Rubber Products,53543977,28572288500,500
662,5740,CROWNHAITAI Holdings,116409,Other Financial Intermediation,14847347,7724036500,500
210,5750,DAELIM B&amp;Co,32302,Manufacture of Refractory and Non-refractory Ceramic Products,16672240,16672240000,1000
450,5800,SHINYOUNG WACOAL,31401,Manufacture of Sewn Wearing Apparel Except Fur Apparel,9000000,4500000000,500
698,5810,POONGSAN HOLDINGS,116409,Other Financial Intermediation,9998528,61405695000,5000
532,5820,WONLIM,31302,Weaving of Textiles and Manufacture of Textile Products,2297970,11489850000,5000
15,5830,DB INSURANCE,116501,Insurance,70800000,35400000000,500
486,5850,SL CORP.,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),46448520,23224260000,500
2457,5860,HanilFeed,31008,Manufacture of Livestock Feeds and Prepared Animal Feeds,39403685,19701842500,500
834,5870,HUNEED,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,14116015,70580075000,5000
239,5880,KOR LINE,85001,Sea and Coastal Water Transport,319177460,159588730000,500
368,5930,SAMSUNG ELEC,32604,Manufacture of Telecommunication and Broadcasting Apparatuses,5969782550,897513820000,100
95,5940,NHIS,116601,Activities Auxiliary to Financial Service Activities,331665921,1782560200000,5000
558,5950,ISU CHEM,32001,Manufacture of Basic Chemicals,22722739,113613695000,5000
255,5960,Dongbu Corporation,64102,Heavy Construction,22874863,115502975000,5000
1233,5990,MAEIL HOLDINGS,31005,Manufacture of Dairy Products and edible Ice Cakes,13718304,6859152000,500
270,6040,DONGWON IND,116409,Other Financial Intermediation,46482665,46482665000,1000
983,6050,KUKYOUNGG&amp;M,32301,Manufacture of Glass and Glass Products,34895243,17447621500,500
818,6060,HS IND,32202,Manufacture of Plastic Products,55320000,27660000000,500
357,6090,OYANG,31002,Processing and Preserving of Fishes and Edible Seaweeds,9422739,47113695000,5000
375,6110,SAMA ALUM,32402,Manufacture of Basic Precious and Non-ferrous Metals,14711916,7355958000,500
116,6120,SK Discovery,116409,Other Financial Intermediation,19037855,111677150000,5000
2383,6140,PJ Electro,32701,Manufacture of Medical Appliances and Instruments,15000000,7500000000,500
722,6200,KECHOLDINGS,116409,Other Financial Intermediation,46803136,23401568000,500
598,6220,Jeju BK,116401,Banking and Savings Institutions,32128774,160643870000,5000
85,6260,LS,116409,Other Financial Intermediation,32200000,161000000000,5000
196,6280,GC Corp,32102,Manufacture of Medicaments,11686538,58432690000,5000
225,6340,DAWON CBL,32803,Manufacture of Electric Lamps and Bulbs,71964534,37292867000,500
31,6360,GS E&amp;C,64101,Building Construction,85581490,427907450000,5000
205,6370,Daegu Dpt Str,74701,Retail Sale in Non-Specialized Stores,10821611,54108055000,5000
629,6380,CAPRO,32001,Manufacture of Basic Chemicals,40000000,20000000000,500
765,6390,HANIL HYUNDAI CEMENT,32303,Manufacture of Cement Lime and Plaster and Its Products,19327672,96638360000,5000
360,6400,SAMSUNG SDI,32802,Manufacture of Primary Cells and Batteries and Accumulators,68764530,356712130000,5000
569,6490,INSCOB,106102,Telecommunications,115300173,57650086500,500
211,6570,DAELIM TRDG,32509,Manufacture of Other Fabricated Metal Products; Metal Working Service Activities,15225000,16425000000,1000
1090,6580,DaeyangPaper,31701,Manufacture of Pulp Paper and Paperboard,26850000,13425000000,500
1122,6620,DongKoo Bio &amp; Pharma,32102,Manufacture of Medicaments,28464992,14232496000,500
233,6650,KPIC,32001,Manufacture of Basic Chemicals,6500000,41000000000,5000
361,6660,SAMSUNG CLIMATE CON,33003,Manufacture of Parts and Accessories for Motor Vehicles(New Products),8126314,4063157000,500
1411,6730,Seobu T&amp;D,95501,General Accommodation and Accommodation with Cooking Facilities,61563241,30781620500,500
514,6740,YOUNGPOONG PAPR MFG,31702,Manufacture of Corrugated Cardboard Paper Boxes and Paper Containers,46482148,24397993000,500
327,6800,MIRAE ASSET SEC,116601,Activities Auxiliary to Financial Service Activities,605316408,4101960790000,5000
2,6840,AK Holdings,116409,Other Financial Intermediation,13247561,66237805000,5000
449,6880,SINGSONGHOLDINGS,74602,Wholesale of Agricultural Raw Materials and Live Animals and Plants,11828858,5914429000,500
668,6890,TAEKYUNG CHEMICAL,32001,Manufacture of Basic Chemicals,11600000,5800000000,500
1320,6910,BOSUNG POWER,32501,Manufacture of Structural Metal Products Tanks Reservoirs and Steam Generators,49129824,24564912000,500
1269,6920,Mohenz,32303,Manufacture of Cement Lime and Plaster and Its Products,10920000,5460000000,500
525,6980,WOOSUNG,31006,Manufacture of Grain Mill Products Starches and Starch Products,3090000,15450000000,5000
33,7070,GS Retail,74701,Retail Sale in Non-Specialized Stores,104717922,104717922000,1000
579,7110,ILSHIN STONE,74606,Wholesale of Construction Materials Hardware and Heating and Air Conditioning Equipment,77456610,38728305000,500
323,7120,MiraeING,106201,Computer programming System Integration and Management Services,27883584,13941792000,500
355,7160,SAJO IND,10301,Fishing and Gathering of Marine Materials,5000000,25000000000,5000
339,7210,BYUKSAN,32309,Manufacture of Other Non-metallic Mineral Products,68560000,34280000000,500
733,7280,KOREA STEEL,32401,Manufacture of Basic Iron and Steel,60589598,30294799000,500
