name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Lotte Energy Materials Corporation ,020150.KO,South Korea,Electronic Components,1354,534,46
LOTTE Corporation ,004990.KO,South Korea,Industrial Conglomerates,1349,11241,72
Hansol Chemical Co. Ltd. ,014680.KO,South Korea,Specialty Chemicals,1347,626,11
KCC Corporation ,002380.KO,South Korea,Diversified Chemicals,1338,4961,7
FP Corporation ,7947.TSE,Japan,Metal Glass and Plastic Containers,1331,1488,82
Japan Elevator Service Holdings Co.Ltd. ,6544.TSE,Japan,Diversified Support Services,1331,253,89
Formosa Taffeta Co. Ltd. ,1434.TW,Taiwan,Textiles,1330,1008,1683
United Integrated Services Co. Ltd. ,2404.TW,Taiwan,Construction and Engineering,1325,2104,188
Hanwha Corporation ,000880.KO,South Korea,Industrial Conglomerates,1316,48897,74
Nishi-Nippon Railroad Co. Ltd. ,9031.TSE,Japan,Rail Transportation,1312,3261,79
Soulbrain Co. Ltd. ,357780.KQ,South Korea,Specialty Chemicals,1312,758,8
Tokyo Steel Manufacturing Co. Ltd. ,5423.TSE,Japan,Steel,1299,2582,111
Takasago Thermal Engineering Co. Ltd. ,1969.TSE,Japan,Building Products,1297,2385,66
Sakata Seed Corporation ,1377.TSE,Japan,Agricultural Products and Services,1296,553,44
JustSystems Corporation ,4686.TSE,Japan,Application Software,1295,289,64
Organo Corporation ,6368.TSE,Japan,Industrial Machinery and Supplies and Components,1281,928,46
FADU Inc. ,440110.KQ,South Korea,Semiconductors,1271,48,49
Aiful Corporation ,8515.TSE,Japan,Consumer Finance,1260,1025,484
JACCS Co. Ltd. ,8584.TSE,Japan,Consumer Finance,1228,1230,35
Inaba Denki Sangyo Co.Ltd. ,9934.TSE,Japan,Trading Companies and Distributors,1212,2237,56
Solum Co. Ltd. ,248070.KO,South Korea,Electronic Components,1110,1509,49
Hoshino Resorts REIT Inc. ,3287.TSE,Japan,Hotel and Resort REITs,1105,89,0
Osaka Soda Co. Ltd. ,4046.TSE,Japan,Specialty Chemicals,1104,703,25
China Petrochemical Development Corporation ,1314.TW,Taiwan,Commodity Chemicals,1103,694,3785
NIPPON REIT Investment Corporation ,3296.TSE,Japan,Diversified REITs,1078,120,1
Cosmax Inc. ,192820.KO,South Korea,Personal Care Products,1078,1275,11
Orient Semiconductor Electronics Limited ,2329.TW,Taiwan,Semiconductors,1077,470,826
ARIAKE JAPAN Co. Ltd. ,2815.TSE,Japan,Packaged Foods and Meats,1073,388,32
Aeon Delight Co. Ltd. ,9787.TSE,Japan,Environmental and Facilities Services,1072,2227,49
Makino Milling Machine Co. Ltd. ,6135.TSE,Japan,Industrial Machinery and Supplies and Components,1062,1628,24
Kureha Corporation ,4023.TSE,Japan,Commodity Chemicals,1060,1285,19
SENKO Group Holdings Co. Ltd. ,9069.TSE,Japan,Air Freight and Logistics,1058,4975,150
Simplex Holdings Inc. ,4373.TSE,Japan,IT Consulting and Other Services,1050,251,58
Fitipower Integrated Technology Inc. ,4961.TW,Taiwan,Semiconductors,1041,533,121
Kissei Pharmaceutical Co. Ltd. ,4547.TSE,Japan,Pharmaceuticals,1040,488,46
Eternal Materials Co. Ltd. ,1717.TW,Taiwan,Commodity Chemicals,1037,1408,1178
Hugel Inc. ,145020.KQ,South Korea,Biotechnology,1035,229,11
HannStar Display Corporation ,6116.TW,Taiwan,Electronic Components,1030,439,2859
ITEQ Corporation ,6213.TW,Taiwan,Electronic Components,1028,799,363
Round One Corporation ,4680.TSE,Japan,Leisure Facilities,1028,1017,269
SD Biosensor Inc ,137310.KO,South Korea,Health Care Supplies,1027,830,122
ENNOSTAR Inc. ,3714.TW,Taiwan,Semiconductors,1025,742,752
Ain Holdings Inc. ,9627.TSE,Japan,Drug Retail,1023,2617,35
Ennoconn Corporation ,6414.TW,Taiwan,Technology Hardware Storage and Peripherals,1014,3771,124
Shiny Chemical Industrial Co. Ltd. ,1773.TW,Taiwan,Specialty Chemicals,1013,323,250
The Monogatari Corporation ,3097.TSE,Japan,Restaurants,1009,638,36
Taikisha Ltd. ,1979.TSE,Japan,Construction and Engineering,1009,1602,33
Chung Hung Steel Corporation ,2014.TW,Taiwan,Steel,1005,1133,1436
Mitsubishi Logisnext Co. Ltd. ,7105.TSE,Japan,Construction Machinery and Heavy Transportation Equipment,1005,4470,107
YUNSUNG F&C Co.Ltd ,372170.KQ,South Korea,Industrial Machinery and Supplies and Components,1005,170,8
Komeri Co.Ltd. ,8218.TSE,Japan,Home Improvement Retail,1004,2600,48
Sercomm Corporation ,5388.TW,Taiwan,Communications Equipment,999,2182,262
AcBel Polytech Inc. ,6282.TW,Taiwan,Electrical Components and Equipment,996,726,734
Primax Electronics Ltd. ,4915.TW,Taiwan,Electronic Manufacturing Services,995,2304,463
LX Semicon Co. Ltd. ,108320.KO,South Korea,Semiconductors,995,1451,16
Topco Scientific Co.Ltd. ,5434.TW,Taiwan,Semiconductor Materials and Equipment,993,1659,189
SAN-A CO.LTD. ,2659.TSE,Japan,Food Retail,992,1560,31
SungEel HiTech Co. Ltd. ,365340.KQ,South Korea,Environmental and Facilities Services,991,220,12
Xintec Inc. ,3374.TWO,Taiwan,Semiconductors,990,213,271
EDION Corporation ,2730.TSE,Japan,Computer and Electronics Retail,987,4957,98
Capital Securities Corporation ,6005.TW,Taiwan,Investment Banking and Brokerage,984,294,2171
H.U. Group Holdings Inc. ,4544.TSE,Japan,Health Care Services,979,1744,57
Elecom Co. Ltd. ,6750.TSE,Japan,Technology Hardware Storage and Peripherals,969,718,84
Chunbo Co. Ltd. ,278280.KQ,South Korea,Specialty Chemicals,959,200,10
Belc CO. LTD. ,9974.TSE,Japan,Food Retail,959,2288,21
Taiyo Holdings Co. Ltd. ,4626.TSE,Japan,Specialty Chemicals,958,660,56
Chang Wah Technology Co. Ltd. ,6548.TWO,Taiwan,Semiconductor Materials and Equipment,956,412,927
Tsubakimoto Chain Co. ,6371.TSE,Japan,Industrial Machinery and Supplies and Components,956,1768,37
Anritsu Corporation ,6754.TSE,Japan,Electronic Equipment and Instruments,953,743,132
Riken Keiki Co. Ltd. ,7734.TSE,Japan,Electronic Equipment and Instruments,951,316,23
Tokyo Kiraboshi Financial Group Inc. ,7173.TSE,Japan,Regional Banks,951,843,30
YONEX Co. Ltd. ,7906.TSE,Japan,Leisure Products,948,770,87
JUSUNG ENGINEERING Co.Ltd. ,036930.KQ,South Korea,Semiconductor Materials and Equipment,946,237,48
Juroku Financial GroupInc. ,7380.TSE,Japan,Regional Banks,943,751,36
GungHo Online Entertainment Inc. ,3765.TSE,Japan,Interactive Home Entertainment,943,875,60
Taiwan Hon Chuan Enterprise Co. Ltd. ,9939.TW,Taiwan,Metal Glass and Plastic Containers,943,828,288
Taiwan Cogeneration Corporation ,8926.TW,Taiwan,Independent Power Producers and Energy Traders,938,172,730
Hokkaido Electric Power Company Incorporated ,9509.TSE,Japan,Electric Utilities,935,6506,205
The Nisshin OilliO GroupLtd. ,2602.TSE,Japan,Packaged Foods and Meats,933,3784,32
Coretronic Corporation ,5371.TWO,Taiwan,Electronic Equipment and Instruments,933,1389,391
TXC Corporation ,3042.TW,Taiwan,Electronic Components,931,358,310
Center Laboratories Inc. ,4123.TWO,Taiwan,Pharmaceuticals,931,34,654
Ottogi Corporation ,007310.KO,South Korea,Packaged Foods and Meats,927,2553,3
Milbon Co. Ltd. ,4919.TSE,Japan,Personal Care Products,924,321,33
EirGenix Inc. ,6589.TWO,Taiwan,Life Sciences Tools and Services,923,37,305
Ricoh Leasing Company Ltd. ,8566.TSE,Japan,Specialized Finance,922,2075,31
Evergreen Steel Corp. ,2211.TW,Taiwan,Steel,920,345,417
SK Networks Company Limited ,001740.KO,South Korea,Trading Companies and Distributors,919,7327,204
Paramount Bed Holdings Co. Ltd. ,7817.TSE,Japan,Health Care Equipment,918,696,58
Star Asia Investment Corporation ,3468.TSE,Japan,Diversified REITs,918,100,2
Kura SushiInc. ,2695.TSE,Japan,Restaurants,917,1431,40
Daejoo Electronic Materials Co. Ltd. ,078600.KQ,South Korea,Electronic Components,912,122,15
Fuso Chemical Co.Ltd. ,4368.TSE,Japan,Specialty Chemicals,911,447,35
Hyosung Corporation ,004800.KO,South Korea,Industrial Conglomerates,910,2727,20
Mezzion Pharma Co.Ltd. ,140410.KQ,South Korea,Pharmaceuticals,908,24,30
Global Brands Manufacture Ltd. ,6191.TW,Taiwan,Electronic Components,906,750,471
Nippon Densetsu Kogyo Co. Ltd. ,1950.TSE,Japan,Construction and Engineering,904,1212,62
SIMMTECH Co. Ltd. ,222800.KQ,South Korea,Semiconductor Materials and Equipment,901,957,32
Ferrotec Holdings Corporation ,6890.TSE,Japan,Semiconductor Materials and Equipment,901,1519,47
Lotte Chilsung Beverage Co. Ltd. ,005300.KO,South Korea,Soft Drinks and Non-alcoholic Beverages,896,2224,10
Chudenko Corporation ,1941.TSE,Japan,Construction and Engineering,895,1322,55
POSCO M-TECH Co. Ltd. ,009520.KQ,South Korea,Steel,893,246,42
Tsuburaya Fields Holdings Inc. ,2767.TSE,Japan,Leisure Products,892,963,65
Universal Vision Biotechnology Co. Ltd. ,3218.TWO,Taiwan,Health Care Services,884,125,85
Kaken Pharmaceutical Co. Ltd. ,4521.TSE,Japan,Pharmaceuticals,884,505,38
Future Corporation ,4722.TSE,Japan,IT Consulting and Other Services,883,388,89
Flexium Interconnect Inc. ,6269.TW,Taiwan,Electronic Components,882,1267,323
Ichigo Office REIT Investment Corporation ,8975.TSE,Japan,Office REITs,882,148,2
Waffer Technology Corporation ,6235.TW,Taiwan,Industrial Machinery and Supplies and Components,881,163,193
Hokkoku Financial Holdings Inc. ,7381.TSE,Japan,Regional Banks,881,427,24
West Holdings Corporation ,1407.TSE,Japan,Renewable Electricity,881,323,41
HK inno.N Corporation ,195940.KQ,South Korea,Pharmaceuticals,880,585,28
GS Engineering & Construction Corporation ,006360.KO,South Korea,Construction and Engineering,879,10541,85
Silicon Integrated Systems Corp. ,2363.TW,Taiwan,Semiconductors,879,5,750
ROYAL HOLDINGS Co. Ltd. ,8179.TSE,Japan,Restaurants,879,838,49
Max Co. Ltd. ,6454.TSE,Japan,Industrial Machinery and Supplies and Components,878,589,47
CJ ENM CO. Ltd. ,035760.KQ,South Korea,Movies and Entertainment,872,3523,21
Toho Titanium Co. Ltd. ,5727.TSE,Japan,Diversified Metals and Mining,870,529,71
USEN-NEXT HOLDINGS Co.Ltd. ,9418.TSE,Japan,Alternative Carriers,869,1899,39
Caliway Biopharmaceuticals Co. Ltd. ,6919.TWO,Taiwan,Pharmaceuticals,869,1,62
Nihon Parkerizing Co. Ltd. ,4095.TSE,Japan,Specialty Chemicals,869,834,115
M31 Technology Corporation ,6643.TWO,Taiwan,Semiconductors,867,47,35
Nitto Boseki Co. Ltd. ,3110.TSE,Japan,Building Products,865,581,36
Nojima Corporation ,7419.TSE,Japan,Computer and Electronics Retail,865,4581,98
Hyundai Bioscience Co. Ltd. ,048410.KQ,South Korea,Personal Care Products,864,8,40
Kolmar Korea Co. Ltd. ,161890.KO,South Korea,Personal Care Products,863,1549,23
ISU Specialty Chemical Co. Ltd. ,457190.KO,South Korea,Specialty Chemicals,862,-,6
Takara Standard Co.Ltd. ,7981.TSE,Japan,Building Products,860,1593,69
Japan Securities Finance Co. Ltd. ,8511.TSE,Japan,Specialized Finance,860,312,86
YG Entertainment Inc. ,122870.KQ,South Korea,Movies and Entertainment,859,422,19
Auras Technology Co. Ltd. ,3324.TWO,Taiwan,Technology Hardware Storage and Peripherals,853,406,86
Funai Soken Holdings Incorporated ,9757.TSE,Japan,Research and Consulting Services,849,185,49
Formosa International Hotels Corporation ,2707.TW,Taiwan,Hotels Resorts and Cruise Lines,847,208,127
Pegavision Corporation ,6491.TW,Taiwan,Health Care Supplies,846,208,70
ChipMOS TECHNOLOGIES INC. ,8150.TW,Taiwan,Semiconductors,845,641,727
Chong Kun Dang Pharmaceutical Corp. ,185750.KO,South Korea,Pharmaceuticals,841,1171,12
KYB Corporation ,7242.TSE,Japan,Automotive Parts and Equipment,841,3030,25
Microbio Co. Ltd. ,4128.TWO,Taiwan,Personal Care Products,840,51,560
Toyo Ink SC Holdings Co. Ltd. ,4634.TSE,Japan,Specialty Chemicals,839,2178,53
FuSheng Precision Co. Ltd. ,6670.TW,Taiwan,Leisure Products,838,943,133
Taiwan Surface Mounting Technology Corp. ,6278.TW,Taiwan,Electronic Components,835,1814,292
DAIHEN Corporation ,6622.TSE,Japan,Heavy Electrical Equipment,835,1272,25
EnTie Commercial Bank Co. Ltd. ,2849.TW,Taiwan,Diversified Banks,833,96,1958
Shoei Co. Ltd. ,7839.TSE,Japan,Automotive Parts and Equipment,833,224,54
Tokai Tokyo Financial Holdings Inc. ,8616.TSE,Japan,Investment Banking and Brokerage,832,502,249
Aichi Financial Group Inc. ,7389.TSE,Japan,Regional Banks,831,504,49
Takuma Co. Ltd. ,6013.TSE,Japan,Industrial Machinery and Supplies and Components,831,979,80
Shinsung Delta Tech Co.Ltd. ,065350.KQ,South Korea,Electrical Components and Equipment,828,626,27
Dongwon Industries Co. Ltd. ,006040.KO,South Korea,Packaged Foods and Meats,824,6905,36
Zojirushi Corporation ,7965.TSE,Japan,Household Appliances,815,601,68
Sigurd Microelectronics Corporation ,6257.TW,Taiwan,Semiconductors,814,522,457
Innodisk Corporation ,5289.TWO,Taiwan,Technology Hardware Storage and Peripherals,814,290,88
TOKAI Holdings Corporation ,3167.TSE,Japan,Industrial Conglomerates,812,1607,131
Noritsu Koki Co. Ltd. ,7744.TSE,Japan,Industrial Conglomerates,805,577,36
Mochida Pharmaceutical Co. Ltd. ,4534.TSE,Japan,Pharmaceuticals,804,694,36
Okaya & Co. Ltd. ,7485.NSE,Japan,Steel,792,7199,10
Cyber Power Systems Inc. ,3617.TW,Taiwan,Electrical Components and Equipment,791,370,88
ITE Tech. Inc ,3014.TW,Taiwan,Semiconductors,785,169,161
Iino Kaiun Kaisha Ltd. ,9119.TSE,Japan,Marine Transportation,781,972,106
DukSan Neolux Co.Ltd ,213420.KQ,South Korea,Semiconductors,777,127,25
AAEON Technology Inc. ,6579.TW,Taiwan,Technology Hardware Storage and Peripherals,774,266,160
Cathay No.1 REIT (01002.TW),01002.TW,Taiwan,Diversified REITs,772,25,1393
Huaku Development Co. Ltd. ,2548.TW,Taiwan,Real Estate Development,772,271,277
Pan German Universal Motors Ltd. ,2247.TW,Taiwan,Automotive Retail,771,1571,81
Kintetsu Department Store Co. Ltd. ,8244.TSE,Japan,Broadline Retail,770,786,40
ispace inc. ,9348.TSE,Japan,Aerospace and Defense,769,7,82
Shinkong Synthetic Fibers Corporation ,1409.TW,Taiwan,Commodity Chemicals,767,1271,1614
Financial Products Group Co. Ltd. ,7148.TSE,Japan,Specialized Finance,767,413,85
Shin Kong No. 1 REIT (01003.TW),01003.TW,Taiwan,Diversified REITs,764,25,1130
OSAKA Titanium technologies Co.Ltd. ,5726.TSE,Japan,Diversified Metals and Mining,764,324,37
CHA Biotech Co. Ltd. ,085660.KQ,South Korea,Health Care Facilities,762,699,56
Plus Alpha Consulting Co.Ltd. ,4071.TSE,Japan,Application Software,760,55,42
LX International Corp. ,001120.KO,South Korea,Trading Companies and Distributors,758,12119,36
Tainan Spinning Co. Ltd. ,1440.TW,Taiwan,Textiles,756,676,1657
DEAR U Co. LTD. ,376300.KQ,South Korea,Application Software,754,47,24
Ai Holdings Corporation ,3076.TSE,Japan,Electronic Equipment and Instruments,752,321,47
MITSUI-SOKO HOLDINGS Co. Ltd. ,9302.TSE,Japan,Air Freight and Logistics,751,1994,25
WON TECH Co.Ltd. ,336570.KQ,South Korea,Health Care Equipment,748,79,88
Episil Technologies Inc. ,3707.TWO,Taiwan,Semiconductors,747,263,333
Tokyotokeiba Co.Ltd. ,9672.TSE,Japan,Leisure Facilities,746,250,27
Torii Pharmaceutical Co. Ltd. ,4551.TSE,Japan,Pharmaceuticals,744,356,28
Medigen Vaccine Biologics Corporation ,6547.TWO,Taiwan,Biotechnology,742,1,328
Grand Korea Leisure Co. Ltd. ,114090.KO,South Korea,Casinos and Gaming,742,286,62
Shinfox Energy Co. Ltd. ,6806.TW,Taiwan,Renewable Electricity,742,176,216
Wafer Works Corporation ,6182.TWO,Taiwan,Semiconductor Materials and Equipment,741,378,542
Seegene Inc. ,096530.KQ,South Korea,Biotechnology,740,341,47
Earth Corporation ,4985.TSE,Japan,Household Products,740,1061,22
MCJ Co. Ltd. ,6670.TSE,Japan,Technology Hardware Storage and Peripherals,739,1286,98
NAGAWA Co. Ltd. ,9663.TSE,Japan,Homebuilding,734,220,16
Tokyo Electron Device Limited ,2760.TSE,Japan,Technology Distributors,732,1720,30
WinWay Technology Co. Ltd. ,6515.TW,Taiwan,Semiconductor Materials and Equipment,732,170,35
Mercuries Life Insurance Company Ltd. ,2867.TW,Taiwan,Life and Health Insurance,731,2618,4600
LegoChem Biosciences Inc. ,141080.KQ,South Korea,Life Sciences Tools and Services,725,27,27
San-Ai Obbli Co. Ltd. ,8097.TSE,Japan,Oil and Gas Refining and Marketing,725,4454,66
Gloria Material Technology Corp. ,5009.TWO,Taiwan,Steel,725,434,514
Hana Materials Inc. ,166090.KQ,South Korea,Semiconductor Materials and Equipment,725,244,20
Allied Supreme Corp. ,4770.TW,Taiwan,Specialty Chemicals,724,203,80
Nohmi Bosai Ltd. ,6744.TSE,Japan,Electronic Equipment and Instruments,723,739,60
TKP Corporation ,3479.TSE,Japan,Real Estate Operating Companies,720,332,42
BML Inc. ,4694.TSE,Japan,Health Care Services,719,1067,39
Shin-Etsu Polymer Co.Ltd. ,7970.TSE,Japan,Commodity Chemicals,719,758,81
Quanta Storage Inc. ,6188.TWO,Taiwan,Technology Hardware Storage and Peripherals,718,366,278
Musashi Seimitsu Industry Co. Ltd. ,7220.TSE,Japan,Automotive Parts and Equipment,718,2213,65
Nichiha Corporation ,7943.TSE,Japan,Building Products,717,960,36
Yodogawa Steel Works Ltd. ,5451.TSE,Japan,Steel,716,1478,29
NEXON Games Co. Ltd. ,225570.KQ,South Korea,Interactive Home Entertainment,714,140,64
Lotte Wellfood Co.Ltd ,280360.KO,South Korea,Packaged Foods and Meats,713,3136,9
Foosung Co. Ltd. ,093370.KO,South Korea,Commodity Chemicals,712,452,94
Nippon Light Metal Holdings Company Ltd. ,5703.TSE,Japan,Aluminum,711,3570,62
Systena Corporation ,2317.TSE,Japan,Application Software,708,523,387
Mitsubishi Pencil Co. Ltd. ,7976.TSE,Japan,Office Services and Supplies,708,494,54
Roland Corporation ,7944.TSE,Japan,Leisure Products,708,684,25
Yamazen Corporation ,8051.TSE,Japan,Trading Companies and Distributors,707,3599,89
EIZO Corporation ,6737.TSE,Japan,Technology Hardware Storage and Peripherals,707,564,21
Kinpo Electronics Inc. ,2312.TW,Taiwan,Technology Hardware Storage and Peripherals,706,5730,1477
HAESUNG DS Co. Ltd. ,195870.KO,South Korea,Semiconductor Materials and Equipment,705,604,17
NOMURA Co. Ltd. ,9716.TSE,Japan,Research and Consulting Services,704,813,111
Fulgent Sun International (Holding) Co. Ltd. ,9802.TW,Taiwan,Footwear,703,742,190
Bengo4.comInc. ,6027.TSE,Japan,Interactive Media and Services,703,63,22
Hiday Hidaka Corp. ,7611.TSE,Japan,Restaurants,701,296,38
ECOVE Environment Corp. ,6803.TWO,Taiwan,Environmental and Facilities Services,700,242,71
Ryosan Company Limited ,8140.TSE,Japan,Technology Distributors,698,2240,23
Leopalace21 Corporation ,8848.TSE,Japan,Real Estate Operating Companies,698,2846,319
DOUTOR NICHIRES Holdings Co. Ltd. ,3087.TSE,Japan,Restaurants,697,941,44
Myoung Shin Industrial Co.Ltd ,009900.KO,South Korea,Automotive Parts and Equipment,697,1354,53
Century Wind Power Co. Ltd. ,2072.TWO,Taiwan,Construction and Engineering,697,121,120
Kinik Company ,1560.TW,Taiwan,Industrial Machinery and Supplies and Components,691,210,144
Depo Auto Parts Industrial Co. Ltd. ,6605.TW,Taiwan,Automotive Parts and Equipment,690,578,166
Youngone Holdings Co. Ltd. ,009970.KO,South Korea,Apparel Accessories and Luxury Goods,689,3589,12
HLB Life Science Co. Ltd. ,067630.KQ,South Korea,Health Care Distributors,689,91,102
Showa Sangyo Co. Ltd. ,2004.TSE,Japan,Packaged Foods and Meats,689,2380,33
Delpha Construction Co.Ltd. ,2530.TW,Taiwan,Real Estate Operating Companies,687,50,840
Totetsu Kogyo Co. Ltd. ,1835.TSE,Japan,Construction and Engineering,687,882,34
Sakai Moving Service Co.Ltd. ,9039.TSE,Japan,Cargo Ground Transportation,687,768,41
Continental Holdings Corporation ,3703.TW,Taiwan,Construction and Engineering,685,919,823
Hanssem Co. Ltd. ,009240.KO,South Korea,Home Furnishings,685,1488,17
Wah Lee Industrial Corporation ,3010.TW,Taiwan,Technology Distributors,682,2126,236
Lake Materials Co. Ltd. ,281740.KQ,South Korea,Commodity Chemicals,682,98,66
Daishin Securities Co.Ltd ,003540.KO,South Korea,Investment Banking and Brokerage,681,2065,66
Poongsan Corporation ,103140.KO,South Korea,Diversified Metals and Mining,681,3221,27
Lutronic Corporation ,085370.KQ,South Korea,Health Care Equipment,680,207,25
TOWA Corporation ,6315.TSE,Japan,Semiconductor Materials and Equipment,679,337,25
ORION Holdings Corp. ,001800.KO,South Korea,Packaged Foods and Meats,678,2303,60
Jeisys Medical Inc. ,287410.KQ,South Korea,Health Care Equipment,678,95,76
AfreecaTV Co. Ltd. ,067160.KQ,South Korea,Interactive Media and Services,677,244,11
The Kiyo Bank Ltd. ,8370.TSE,Japan,Regional Banks,676,509,65
Ryobi Limited ,5851.TSE,Japan,Industrial Machinery and Supplies and Components,676,1838,32
Lian Hwa Foods Corporation ,1231.TW,Taiwan,Packaged Foods and Meats,676,353,247
Tri Chemical Laboratories Inc. ,4369.TSE,Japan,Semiconductor Materials and Equipment,676,91,33
Raito Kogyo Co. Ltd. ,1926.TSE,Japan,Construction and Engineering,675,808,49
Advanced Echem Materials Company Limited ,4749.TWO,Taiwan,Semiconductors,675,81,81
Gongwin Biopharm Holdings Co. Ltd. ,6617.TWO,Taiwan,Biotechnology,672,0,113
GREE Inc. ,3632.TSE,Japan,Interactive Home Entertainment,671,522,171
Handa Pharmaceuticals Inc. ,6620.TWO,Taiwan,Pharmaceuticals,670,23,140
OCI Company Ltd. ,456040.KO,South Korea,Diversified Chemicals,669,-,7
Shibaura Machine Co.Ltd. ,6104.TSE,Japan,Industrial Machinery and Supplies and Components,669,909,24
Chong Hong Construction Co. Ltd. ,5534.TW,Taiwan,Diversified Real Estate Activities,668,153,290
Wowprime Corp. ,2727.TW,Taiwan,Restaurants,668,677,82
Hioki E.E. Corporation ,6866.TSE,Japan,Electronic Equipment and Instruments,667,269,14
CSBC Corporation ,2208.TW,Taiwan,Construction Machinery and Heavy Transportation Equipment,662,754,934
Alpha Networks Inc. ,3380.TW,Taiwan,Communications Equipment,662,1094,542
Zeria Pharmaceutical Co. Ltd. ,4559.TSE,Japan,Pharmaceuticals,661,487,44
ARTERIA Networks Corporation ,4423.TSE,Japan,Alternative Carriers,660,418,50
Taiwan Semiconductor Co. Ltd. ,5425.TWO,Taiwan,Semiconductors,660,493,249
TCI Co. Ltd. ,8436.TWO,Taiwan,Personal Care Products,660,249,118
Iriso Electronics Co. Ltd. ,6908.TSE,Japan,Electronic Components,658,370,24
Advanced Wireless Semiconductor Company ,8086.TWO,Taiwan,Semiconductor Materials and Equipment,656,59,197
Sinyi Realty Inc. ,9940.TW,Taiwan,Real Estate Services,656,464,737
National Petroleum Co. Ltd. ,9937.TW,Taiwan,Automotive Retail,655,780,309
Hankyu Hanshin REIT Inc. ,8977.TSE,Japan,Diversified REITs,653,83,1
Kanamoto Co.Ltd. ,9678.TSE,Japan,Trading Companies and Distributors,652,1367,36
AIC Inc. ,3693.TWO,Taiwan,Technology Hardware Storage and Peripherals,652,219,39
SeAH Besteel Holdings Corporation ,001430.KO,South Korea,Steel,651,3337,36
F.C.C. Co. Ltd. ,7296.TSE,Japan,Automotive Parts and Equipment,650,1570,50
Innocean Worldwide Inc. ,214320.KO,South Korea,Advertising,649,1484,20
Nishimatsuya Chain Co. Ltd. ,7545.TSE,Japan,Apparel Retail,649,1195,60
Tamron Co.Ltd. ,7740.TSE,Japan,Consumer Electronics,648,446,21
Koshidaka Holdings Co. Ltd. ,2157.TSE,Japan,Leisure Facilities,647,365,82
Dongwon Systems Corporation ,014820.KO,South Korea,Metal Glass and Plastic Containers,646,1056,29
Raysum Co. Ltd. ,8890.TSE,Japan,Diversified Real Estate Activities,646,530,29
Everlight Electronics Co. Ltd. ,2393.TW,Taiwan,Semiconductors,646,581,443
JW Pharmaceutical Corporation ,001060.KO,South Korea,Pharmaceuticals,646,548,23
The Awa Bank Ltd. ,8388.TSE,Japan,Regional Banks,646,525,41
en-japan inc. ,4849.TSE,Japan,Human Resource and Employment Services,645,473,41
Geo Holdings Corporation ,2681.TSE,Japan,Other Specialty Retail,644,2785,40
Ability Opto-Electronics Technology Co.Ltd. ,3362.TWO,Taiwan,Electronic Components,644,112,143
Nachi-Fujikoshi Corp. ,6474.TSE,Japan,Industrial Machinery and Supplies and Components,644,1942,23
NIPPON KANZAI Holdings Co.Ltd. ,9347.TSE,Japan,Environmental and Facilities Services,641,796,37
IS DongSeo Co. Ltd. ,010780.KO,South Korea,Construction and Engineering,639,1678,30
Lotte Non - Life Insurance Co. Ltd. ,000400.KO,South Korea,Property and Casualty Insurance,637,1779,309
Intellian Technologies Inc. ,189300.KQ,South Korea,Communications Equipment,636,221,11
Tosei Corporation ,8923.TSE,Japan,Real Estate Development,635,575,48
Jeju Air Co. Ltd. ,089590.KO,South Korea,Passenger Airlines,632,982,77
