name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Iida Group Holdings Co. Ltd. ,3291.TSE,Japan,Homebuilding,4697,9900,280
eMemory Technology Inc. ,3529.TWO,Taiwan,Semiconductors,4670,98,75
Fukuoka Financial Group Inc. ,8354.TSE,Japan,Regional Banks,4651,1946,188
Lawson Inc. ,2651.TSE,Japan,Food Retail,4647,7349,100
SCREEN Holdings Co. Ltd. ,7735.TSE,Japan,Semiconductor Materials and Equipment,4644,3173,95
Walsin Lihwa Corporation ,1605.TW,Taiwan,Electrical Components and Equipment,4607,6016,4031
Nippon Express HoldingsInc. ,9147.TSE,Japan,Air Freight and Logistics,4604,16956,88
Yamaha Corporation ,7951.TSE,Japan,Leisure Products,4576,3124,169
Sumco Corporation ,3436.TSE,Japan,Semiconductor Materials and Equipment,4554,3142,350
Japan Metropolitan Fund Investment Corporation ,8953.TSE,Japan,Retail REITs,4520,606,7
ABC-MartInc. ,2670.TSE,Japan,Apparel Retail,4501,2215,248
Koei Tecmo Holdings Co. Ltd. ,3635.TSE,Japan,Interactive Home Entertainment,4492,540,316
Tokyu Fudosan Holdings Corporation ,3289.TSE,Japan,Diversified Real Estate Activities,4462,7184,710
Shin Kong Financial Holding Co. Ltd. ,2888.TW,Taiwan,Life and Health Insurance,4459,7207,15488
Elite Material Co. Ltd. ,2383.TW,Taiwan,Electronic Components,4425,1133,333
MISUMI Group Inc. ,9962.TSE,Japan,Industrial Machinery and Supplies and Components,4414,2559,281
GLP J-REIT ,3281.TSE,Japan,Industrial REITs,4406,351,5
Nomura Real Estate Holdings Inc. ,3231.TSE,Japan,Diversified Real Estate Activities,4402,4595,174
Asia Cement Corporation ,1102.TW,Taiwan,Construction Materials,4378,2776,3547
Ebara Corporation ,6361.TSE,Japan,Industrial Machinery and Supplies and Components,4354,5065,92
SK Square Co. Ltd. ,402340.KO,South Korea,Industrial Conglomerates,4350,1803,139
Isetan Mitsukoshi Holdings Ltd. ,3099.TSE,Japan,Broadline Retail,4320,3489,382
Micro-Star International Co. Ltd. ,2377.TW,Taiwan,Technology Hardware Storage and Peripherals,4303,5270,845
Lotte Chemical Corporation ,011170.KO,South Korea,Commodity Chemicals,4299,16282,43
Oji Holdings Corporation ,3861.TSE,Japan,Paper Products,4299,11950,991
Toto Ltd. ,5332.TSE,Japan,Building Products,4295,4871,170
L&F Co. Ltd. ,066970.KQ,South Korea,Electronic Components,4288,3950,34
Cheng Shin Rubber Ind. Co. Ltd. ,2105.TW,Taiwan,Tires and Rubber,4278,3142,3241
LG Innotek Co. Ltd. ,011070.KO,South Korea,Electronic Components,4270,15351,24
The Bank of Kyoto Ltd. ,8369.TSE,Japan,Regional Banks,4231,772,74
Kawasaki Heavy Industries Ltd. ,7012.TSE,Japan,Industrial Machinery and Supplies and Components,4222,12315,168
Wan Hai Lines Ltd. ,2615.TW,Taiwan,Marine Transportation,4209,4920,2806
Sega Sammy Holdings Inc. ,6460.TSE,Japan,Leisure Products,4168,2985,221
Eclat Textile Co. Ltd. ,1476.TW,Taiwan,Textiles,4150,1048,274
Square Enix Holdings Co. Ltd. ,9684.TSE,Japan,Interactive Home Entertainment,4130,2449,120
Open House Group Co. Ltd. ,3288.TSE,Japan,Homebuilding,4127,7407,121
Tosoh Corporation ,4042.TSE,Japan,Commodity Chemicals,4115,7281,318
COSMOS Pharmaceutical Corporation ,3349.TSE,Japan,Drug Retail,4087,5924,40
NGK Insulators Ltd. ,5333.TSE,Japan,Industrial Machinery and Supplies and Components,4072,3939,306
Asia Vital Components Co. Ltd. ,3017.TW,Taiwan,Technology Hardware Storage and Peripherals,4059,1808,383
Sharp Corporation ,6753.TSE,Japan,Consumer Electronics,4046,17479,649
Azbil Corporation ,6845.TSE,Japan,Electronic Equipment and Instruments,4043,1961,132
Toyo Suisan Kaisha Ltd. ,2875.TSE,Japan,Packaged Foods and Meats,4033,3070,102
Daiwa House REIT Investment Corporation ,8984.TSE,Japan,Diversified REITs,4015,432,2
Hirose Electric Co.Ltd. ,6806.TSE,Japan,Electronic Components,3988,1225,34
Yuhan Corporation ,000100.KO,South Korea,Pharmaceuticals,3985,1383,71
China Airlines Ltd. ,2610.TW,Taiwan,Passenger Airlines,3965,5343,6022
DB Insurance Co. Ltd. ,005830.KO,South Korea,Property and Casualty Insurance,3962,15473,60
USS Co. Ltd. ,4732.TSE,Japan,Automotive Retail,3943,633,240
Macquarie Korea Infrastructure Fund ,088980.KO,South Korea,Investment Banking and Brokerage,3927,279,436
Kurita Water Industries Ltd. ,6370.TSE,Japan,Industrial Machinery and Supplies and Components,3918,2493,112
AUO Corporation ,2409.TW,Taiwan,Electronic Components,3905,6959,7668
Hanwha Aerospace Co. Ltd. ,012450.KO,South Korea,Aerospace and Defense,3904,5801,51
SK IE Technology Co. Ltd. ,361610.KO,South Korea,Specialty Chemicals,3894,461,71
Japan Airport Terminal Co. Ltd. ,9706.TSE,Japan,Airport Services,3879,966,93
Yamazaki Baking Co. Ltd. ,2212.TSE,Japan,Packaged Foods and Meats,3847,7696,206
Nisshin Seifun Group Inc. ,2002.TSE,Japan,Packaged Foods and Meats,3788,5655,297
HANMI Semiconductor Co. Ltd. ,042700.KO,South Korea,Semiconductor Materials and Equipment,3786,165,97
Hanwha Solutions Corporation ,009830.KO,South Korea,Commodity Chemicals,3759,10659,172
Yulon Finance Corporation ,9941.TW,Taiwan,Consumer Finance,3694,1262,648
Chroma ATE Inc. ,2360.TW,Taiwan,Electronic Equipment and Instruments,3632,691,424
MediPal Holdings Corporation ,7459.TSE,Japan,Health Care Distributors,3577,23574,213
Toyota Boshoku Corporation ,3116.TSE,Japan,Automotive Parts and Equipment,3512,11960,187
Amada Co. Ltd. ,6113.TSE,Japan,Industrial Machinery and Supplies and Components,3494,2616,346
PharmaEssentia Corporation ,6446.TWO,Taiwan,Biotechnology,3465,122,331
LG Display Co. Ltd. ,034220.KO,South Korea,Electronic Components,3462,17632,358
Vanguard International Semiconductor Corporation ,5347.TWO,Taiwan,Semiconductors,3461,1314,1639
JGC Holdings Corporation ,1963.TSE,Japan,Construction and Engineering,3432,4624,241
Taisho Pharmaceutical Holdings Co. Ltd. ,4581.TSE,Japan,Pharmaceuticals,3427,2166,82
TECO Electric & Machinery Co. Ltd. ,1504.TW,Taiwan,Electrical Components and Equipment,3406,1920,2109
Santen Pharmaceutical Co. Ltd. ,4536.TSE,Japan,Pharmaceuticals,3405,1977,367
Ryohin Keikaku Co. Ltd. ,7453.TSE,Japan,Broadline Retail,3402,4017,264
Tohoku Electric Power Company Incorporated ,9506.TSE,Japan,Electric Utilities,3400,21320,500
Canon Marketing Japan Inc. ,8060.TSE,Japan,Technology Distributors,3397,4157,130
Kyushu Railway Company ,9142.TSE,Japan,Rail Transportation,3396,2702,157
Acer Incorporated ,2353.TW,Taiwan,Technology Hardware Storage and Peripherals,3383,7554,3001
Cosmo Advanced Materials & Technology Co. Ltd. ,005070.KO,South Korea,Technology Hardware Storage and Peripherals,3380,503,31
LIXIL Corporation ,5938.TSE,Japan,Building Products,3375,10339,287
Taiwan Business Bank Ltd. ,2834.TW,Taiwan,Diversified Banks,3371,939,8222
Ncsoft Corporation ,036570.KO,South Korea,Interactive Home Entertainment,3335,1573,20
Gold Circuit Electronics Ltd. ,2368.TW,Taiwan,Electronic Components,3318,974,487
The Yokohama Rubber Co. Ltd. ,5101.TSE,Japan,Tires and Rubber,3305,6309,161
Taiyo Yuden Co. Ltd. ,6976.TSE,Japan,Electronic Components,3304,2147,125
Tsuruha Holdings Inc. ,3391.TSE,Japan,Drug Retail,3294,6786,49
LG Uplus Corp. ,032640.KO,South Korea,Integrated Telecommunication Services,3286,10692,430
JTEKT Corporation ,6473.TSE,Japan,Automotive Parts and Equipment,3286,12118,343
Kansai Paint Co. Ltd. ,4613.TSE,Japan,Specialty Chemicals,3280,3632,226
ORIX JREIT Inc. ,8954.TSE,Japan,Office REITs,3260,381,3
ASPEED Technology Inc. ,5274.TWO,Taiwan,Semiconductors,3248,128,38
Ito En Ltd. ,2593.TSE,Japan,Soft Drinks and Non-alcoholic Beverages,3225,3093,121
IHI Corporation ,7013.TSE,Japan,Industrial Machinery and Supplies and Components,3222,9594,151
Sundrug Co.Ltd. ,9989.TSE,Japan,Drug Retail,3214,4884,117
Alfresa Holdings Corporation ,2784.TSE,Japan,Health Care Distributors,3211,19006,194
Kyushu Electric Power Company Incorporated ,9508.TSE,Japan,Electric Utilities,3210,15777,473
NOF Corporation ,4403.TSE,Japan,Diversified Chemicals,3206,1487,80
Tatung Co. Ltd. ,2371.TW,Taiwan,Electrical Components and Equipment,3199,1425,2320
F&F Co. Ltd ,383220.KO,South Korea,Apparel Accessories and Luxury Goods,3181,1445,38
United Urban Investment Corporation ,8960.TSE,Japan,Diversified REITs,3180,359,3
SHIFT Inc. ,3697.TSE,Japan,IT Consulting and Other Services,3167,581,18
WPG Holdings Limited ,3702.TW,Taiwan,Technology Distributors,3160,21424,1679
Advance Residence Investment Corporation ,3269.TSE,Japan,Multi-Family Residential REITs,3156,275,1
Skylark Holdings Co. Ltd. ,3197.TSE,Japan,Restaurants,3152,2296,228
Marui Group Co. Ltd. ,8252.TSE,Japan,Consumer Finance,3125,1524,189
Sohgo Security Services Co.Ltd. ,2331.TSE,Japan,Security and Alarm Services,3104,3457,506
NH Foods Ltd. ,2282.TSE,Japan,Packaged Foods and Meats,3091,8787,103
Lien Hwa Industrial Holdings Corporation ,1229.TW,Taiwan,Packaged Foods and Meats,3057,393,1577
Goldwin Inc. ,8111.TSE,Japan,Apparel Accessories and Luxury Goods,3035,810,45
Electric Power Development Co. Ltd. ,9513.TSE,Japan,Independent Power Producers and Energy Traders,3024,12449,183
Hyundai Engineering & Construction Co. Ltd. ,000720.KO,South Korea,Construction and Engineering,3020,18760,112
Resonac Holdings Corporation ,4004.TSE,Japan,Diversified Chemicals,2966,9356,181
Sanwa Holdings Corporation ,5929.TSE,Japan,Building Products,2957,4159,221
Sumitomo Rubber Industries Ltd. ,5110.TSE,Japan,Tires and Rubber,2954,7938,263
Air Water Inc. ,4088.TSE,Japan,Industrial Gases,2898,6987,228
Macnica Holdings Inc. ,3132.TSE,Japan,Technology Distributors,2891,7376,61
King Yuan Electronics Co. Ltd. ,2449.TW,Taiwan,Semiconductors,2886,1085,1223
Toyoda Gosei Co. Ltd. ,7282.TSE,Japan,Automotive Parts and Equipment,2885,6928,130
Seibu Holdings Inc. ,9024.TSE,Japan,Rail Transportation,2873,3052,301
International Games System Co.Ltd. ,3293.TWO,Taiwan,Interactive Home Entertainment,2853,416,141
HLB Co. Ltd. ,028300.KQ,South Korea,Health Care Supplies,2850,61,129
Lotes Co. Ltd ,3533.TW,Taiwan,Electronic Components,2846,826,111
Internet Initiative Japan Inc. ,3774.TSE,Japan,Integrated Telecommunication Services,2838,1770,177
Nien Made Enterprise Co. LTD. ,8464.TW,Taiwan,Home Furnishings,2821,851,293
Mitsubishi Gas Chemical Company Inc. ,4182.TSE,Japan,Diversified Chemicals,2817,5355,205
Hisamitsu Pharmaceutical Co. Inc. ,4530.TSE,Japan,Pharmaceuticals,2816,959,78
Lion Corporation ,4912.TSE,Japan,Household Products,2802,2750,285
Ruentex Development Co.Ltd. ,9945.TW,Taiwan,Real Estate Development,2788,1015,2550
GS Holdings Corp. ,078930.KO,South Korea,Industrial Conglomerates,2782,20914,95
TBS HoldingsInc. ,9401.TSE,Japan,Broadcasting,2768,2586,165
AEON Mall Co. Ltd. ,8905.TSE,Japan,Real Estate Operating Companies,2764,2917,228
Phison Electronics Corp. ,8299.TWO,Taiwan,Semiconductors,2755,1506,195
NSK Ltd. ,6471.TSE,Japan,Industrial Machinery and Supplies and Components,2754,6273,483
Invincible Investment Corporation ,8963.TSE,Japan,Hotel and Resort REITs,2751,193,7
Hanmi Pharm. Co. Ltd. ,128940.KO,South Korea,Pharmaceuticals,2745,1061,12
JYP Entertainment Corporation ,035900.KQ,South Korea,Movies and Entertainment,2744,365,33
Yulon Motor Company Ltd. ,2201.TW,Taiwan,Automobile Manufacturers,2739,2530,1063
Hotai Finance Co. Ltd. ,6592.TW,Taiwan,Consumer Finance,2732,738,667
Jentech Precision Industrial Co. Ltd ,3653.TW,Taiwan,Semiconductors,2725,396,141
J. Front Retailing Co. Ltd. ,3086.TSE,Japan,Broadline Retail,2716,2657,262
Pola Orbis Holdings Inc. ,4927.TSE,Japan,Personal Care Products,2683,1199,221
Rinnai Corporation ,5947.TSE,Japan,Household Appliances,2681,2905,143
NS Solutions Corporation ,2327.TSE,Japan,IT Consulting and Other Services,2646,2043,92
NH Investment & Securities Co. Ltd. ,005940.KO,South Korea,Investment Banking and Brokerage,2633,6147,350
Pou Chen Corporation ,9904.TW,Taiwan,Footwear,2622,8321,2947
ALTEOGEN Inc. ,196170.KQ,South Korea,Biotechnology,2601,53,52
Chicony Electronics Co. Ltd. ,2385.TW,Taiwan,Technology Hardware Storage and Peripherals,2592,3412,723
Mirae Asset Securities Co. Ltd. ,006800.KO,South Korea,Diversified Capital Markets,2591,10519,606
Seino Holdings Co. Ltd. ,9076.TSE,Japan,Cargo Ground Transportation,2578,4414,182
Nippon Television Holdings Inc. ,9404.TSE,Japan,Broadcasting,2576,2846,255
Airoha Technology Corp. ,6526.TWO,Taiwan,Semiconductors,2571,458,146
Kotobuki Spirits Co. Ltd. ,2222.TSE,Japan,Packaged Foods and Meats,2571,377,156
Netmarble Corporation ,251270.KO,South Korea,Interactive Home Entertainment,2546,1964,82
BIPROGY Inc. ,8056.TSE,Japan,IT Consulting and Other Services,2540,2415,101
Suzuken Co. Ltd. ,9987.TSE,Japan,Health Care Distributors,2540,16148,83
Sankyo Co. Ltd. ,6417.TSE,Japan,Leisure Products,2536,1247,54
Foxconn Technology Co. Ltd. ,2354.TW,Taiwan,Electronic Manufacturing Services,2535,2820,1415
COMSYS Holdings Corporation ,1721.TSE,Japan,Construction and Engineering,2529,3919,120
Kumho Petrochemical Co. Ltd. ,011780.KO,South Korea,Commodity Chemicals,2525,5187,27
Workman Co.Ltd. ,7564.TSE,Japan,Apparel Retail,2524,901,82
Seven Bank Ltd. ,8410.TSE,Japan,Regional Banks,2524,1099,1174
Makalot Industrial Co. Ltd. ,1477.TW,Taiwan,Apparel Accessories and Luxury Goods,2524,1021,242
Credit Saison Co. Ltd. ,8253.TSE,Japan,Consumer Finance,2507,2695,156
ASMedia Technology Inc. ,5269.TW,Taiwan,Semiconductors,2488,170,69
Aozora Bank Ltd. ,8304.TSE,Japan,Diversified Banks,2480,704,117
Rakus Co. Ltd. ,3923.TSE,Japan,Application Software,2476,204,181
Fuyo General Lease Co. Ltd. ,8424.TSE,Japan,Specialized Finance,2474,4346,30
Sapporo Holdings Limited ,2501.TSE,Japan,Brewers,2473,3480,78
Ta Chen Stainless Pipe Co. Ltd. ,2027.TW,Taiwan,Steel,2454,3432,2144
Information Services International-Dentsu Ltd. ,4812.TSE,Japan,IT Consulting and Other Services,2453,951,65
King Slide Works Co. Ltd. ,2059.TW,Taiwan,Technology Hardware Storage and Peripherals,2451,212,95
Hyundai Mipo Dockyard Co. Ltd. ,010620.KO,South Korea,Construction Machinery and Heavy Transportation Equipment,2443,2922,40
Toyo Tire Corporation ,5105.TSE,Japan,Tires and Rubber,2434,3728,154
Japan Hotel REIT Investment Corporation ,8985.TSE,Japan,Hotel and Resort REITs,2431,144,5
Daicel Corporation ,4202.TSE,Japan,Diversified Chemicals,2430,3741,286
Sekisui House Reit Inc. ,3309.TSE,Japan,Diversified REITs,2423,229,4
Samsung Securities Co. Ltd. ,016360.KO,South Korea,Investment Banking and Brokerage,2422,7269,89
SINBON Electronics Co. Ltd. ,3023.TW,Taiwan,Electronic Components,2407,1069,240
Coca-Cola Bottlers Japan Holdings Inc. ,2579.TSE,Japan,Soft Drinks and Non-alcoholic Beverages,2404,5779,179
Sugi Holdings Co.Ltd. ,7649.TSE,Japan,Drug Retail,2403,4819,60
Calbee Inc. ,2229.TSE,Japan,Packaged Foods and Meats,2397,1986,125
Rainbow Robotics Co.Ltd. ,277810.KQ,South Korea,Industrial Machinery and Supplies and Components,2395,10,19
Japan Prime Realty Investment Corporation ,8955.TSE,Japan,Office REITs,2383,255,1
Taichung Commercial Bank Co. Ltd. ,2812.TW,Taiwan,Diversified Banks,2378,468,5226
Tokyo Ohka Kogyo Co. Ltd. ,4186.TSE,Japan,Specialty Chemicals,2372,1165,40
Faraday Technology Corporation ,3035.TW,Taiwan,Semiconductors,2362,407,249
Powertech Technology Inc. ,6239.TW,Taiwan,Semiconductors,2356,2335,747
Keikyu Corporation ,9006.TSE,Japan,Rail Transportation,2349,1767,275
Hotel Shilla Co.Ltd ,008770.KO,South Korea,Other Specialty Retail,2348,3250,38
Fuji Media Holdings Inc. ,4676.TSE,Japan,Broadcasting,2345,3744,220
The Chugoku Electric Power Co. Inc. ,9504.TSE,Japan,Electric Utilities,2318,12318,360
Kyushu Financial GroupInc. ,7180.TSE,Japan,Regional Banks,2308,1323,433
ZENKOKU HOSHO Co.Ltd. ,7164.TSE,Japan,Specialized Finance,2292,350,69
JMDC Inc. ,4483.TSE,Japan,Health Care Technology,2288,199,63
Iyogin HoldingsInc. ,5830.TSE,Japan,Regional Banks,2272,944,307
Highwealth Construction Corp. ,2542.TW,Taiwan,Real Estate Development,2267,1113,1851
Miura Co. Ltd. ,6005.TSE,Japan,Industrial Machinery and Supplies and Components,2264,1099,111
Kangwon Land Inc. ,035250.KO,South Korea,Casinos and Gaming,2259,1079,203
THK Co. Ltd. ,6481.TSE,Japan,Industrial Machinery and Supplies and Components,2253,2715,123
Korea Investment Holdings Co. Ltd. ,071050.KO,South Korea,Investment Banking and Brokerage,2240,16480,58
Hiwin Technologies Corporation ,2049.TW,Taiwan,Industrial Machinery and Supplies and Components,2236,829,354
Hyundai Rotem Company ,064350.KO,South Korea,Construction Machinery and Heavy Transportation Equipment,2235,2560,109
Kamigumi Co. Ltd. ,9364.TSE,Japan,Marine Ports and Services,2226,1871,109
Kewpie Corporation ,2809.TSE,Japan,Packaged Foods and Meats,2225,3172,139
Zeon Corporation ,4205.TSE,Japan,Commodity Chemicals,2223,2649,211
SM Entertainment Co. Ltd. ,041510.KQ,South Korea,Movies and Entertainment,2219,714,23
Kyudenko Corporation ,1959.TSE,Japan,Construction and Engineering,2216,2856,71
COWAY Co. Ltd. ,021240.KO,South Korea,Household Appliances,2212,2965,73
Activia Properties Inc. ,3279.TSE,Japan,Diversified REITs,2208,250,1
Nankai Electric Railway Co. Ltd. ,9044.TSE,Japan,Rail Transportation,2201,1551,113
Fortune Electric Co. Ltd. ,1519.TW,Taiwan,Electrical Components and Equipment,2197,287,261
Hino Motors Ltd. ,7205.TSE,Japan,Construction Machinery and Heavy Transportation Equipment,2194,10536,574
EXEO Group Inc. ,1951.TSE,Japan,Construction and Engineering,2174,4365,106
Giant Manufacturing Co. Ltd. ,9921.TW,Taiwan,Leisure Products,2173,2875,392
Nabtesco Corporation ,6268.TSE,Japan,Industrial Machinery and Supplies and Components,2170,2279,120
PARK24 Co. Ltd. ,4666.TSE,Japan,Environmental and Facilities Services,2166,2257,171
Mitsubishi Materials Corporation ,5711.TSE,Japan,Diversified Metals and Mining,2163,10831,131
TORIDOLL Holdings Corporation ,3397.TSE,Japan,Restaurants,2162,1364,87
Japan Petroleum Exploration Co. Ltd. ,1662.TSE,Japan,Oil and Gas Exploration and Production,2131,2346,54
Pearl Abyss Corp. ,263750.KQ,South Korea,Interactive Home Entertainment,2108,277,61
Daiwa Office Investment Corporation ,8976.TSE,Japan,Office REITs,2107,207,1
Descente Ltd. ,8114.TSE,Japan,Apparel Accessories and Luxury Goods,2093,839,76
Nippon Accommodations Fund Inc. ,3226.TSE,Japan,Multi-Family Residential REITs,2090,181,1
Taiheiyo Cement Corporation ,5233.TSE,Japan,Construction Materials,2090,5717,117
CJ Corporation ,001040.KO,South Korea,Industrial Conglomerates,2086,31559,34
Hanjin Kal ,180640.KO,South Korea,Passenger Airlines,2083,184,67
