symbol,name,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm),shares,currency,jakota_indicies
4483.TSE,JMDC Inc. ,Japan,Health Care Technology,2288,199,63,63305400,JPY,"[]"
5830.TSE,Iyogin HoldingsInc. ,Japan,Regional Banks,2272,944,307,306447008,JPY,"[]"
2542.TW,Highwealth Construction Corp. ,Taiwan,Real Estate Development,2267,1113,1851,1850659968,TWD,"[]"
6005.TSE,Miura Co. Ltd. ,Japan,Industrial Machinery and Supplies and Components,2264,1099,111,111058000,JPY,"[]"
064350.KO,Hyundai Rotem Company ,South Korea,Construction Machinery and Heavy Transportation Equipment,2235,2560,109,109142000,KRW,"[]"
2809.TSE,Kewpie Corporation ,Japan,Packaged Foods and Meats,2225,3172,139,139004000,JPY,"[]"
4205.TSE,Zeon Corporation ,Japan,Commodity Chemicals,2223,2649,211,211279008,JPY,"[]"
041510.KQ,SM Entertainment Co. Ltd. ,South Korea,Movies and Entertainment,2219,714,23,23348700,KRW,"[entertainment-100]"
1959.TSE,Kyudenko Corporation ,Japan,Construction and Engineering,2216,2856,71,70845200,JPY,"[]"
021240.KO,COWAY Co. Ltd. ,South Korea,Household Appliances,2212,2965,73,72555600,KRW,"[]"
3279.TSE,Activia Properties Inc. ,Japan,Diversified REITs,2208,250,1,807446,JPY,"[]"
1519.TW,Fortune Electric Co. Ltd. ,Taiwan,Electrical Components and Equipment,2197,287,261,261059008,TWD,"[]"
7205.TSE,Hino Motors Ltd. ,Japan,Construction Machinery and Heavy Transportation Equipment,2194,10536,574,574027008,JPY,"[]"
1951.TSE,EXEO Group Inc. ,Japan,Construction and Engineering,2174,4365,106,105998000,JPY,"[]"
6268.TSE,Nabtesco Corporation ,Japan,Industrial Machinery and Supplies and Components,2170,2279,120,120006000,JPY,"[]"
4666.TSE,PARK24 Co. Ltd. ,Japan,Environmental and Facilities Services,2166,2257,171,170520000,JPY,"[]"
5711.TSE,Mitsubishi Materials Corporation ,Japan,Diversified Metals and Mining,2163,10831,131,130860000,JPY,"[]"
3397.TSE,TORIDOLL Holdings Corporation ,Japan,Restaurants,2162,1364,87,87139296,JPY,"[]"
263750.KQ,Pearl Abyss Corp. ,South Korea,Interactive Home Entertainment,2108,277,61,13020200,KRW,"[consumer-50]"
8976.TSE,Daiwa Office Investment Corporation ,Japan,Office REITs,2107,207,1,478258,JPY,"[]"
8114.TSE,Descente Ltd. ,Japan,Apparel Accessories and Luxury Goods,2093,839,76,75504200,JPY,"[consumer-50]"
5233.TSE,Taiheiyo Cement Corporation ,Japan,Construction Materials,2090,5717,117,117054000,JPY,"[]"
001040.KO,CJ Corporation ,South Korea,Industrial Conglomerates,2086,31559,34,27058500,KRW,"[]"
9301.TSE,Mitsubishi Logistics Corporation ,Japan,Marine Ports and Services,2077,1989,78,77798304,JPY,"[]"
6789.TW,VisEra Technologies Company Ltd. ,Taiwan,Semiconductors,2038,246,316,316308000,TWD,"[]"
003410.KO,SsangYong C&E Co. Ltd. ,South Korea,Construction Materials,2035,1632,502,498766016,KRW,"[]"
2371.TSE,Kakaku.com Inc. ,Japan,Interactive Media and Services,2024,430,201,201104000,JPY,"[consumer-50,entertainment-100]"
010120.KO,LS ELECTRIC Co. Ltd. ,South Korea,Electrical Components and Equipment,2024,2996,29,29356000,KRW,"[]"
8283.TSE,Paltac Corporation ,Japan,Distributors,2014,7756,63,62846800,JPY,"[]"
9065.TSE,Sankyu Inc. ,Japan,Air Freight and Logistics,2012,3977,58,57120400,JPY,"[]"
8279.TSE,Yaoko Co.Ltd. ,Japan,Food Retail,2009,3985,39,38851900,JPY,"[consumer-50]"
8418.TSE,Yamaguchi Financial Group Inc. ,Japan,Regional Banks,2008,916,222,221832992,JPY,"[]"
5463.TSE,Maruichi Steel Tube Ltd. ,Japan,Steel,1998,1902,80,79623504,JPY,"[]"
7729.TSE,Tokyo Seimitsu Co. Ltd. ,Japan,Semiconductor Materials and Equipment,1977,1006,40,40424900,JPY,"[tech-100,semiconductors-25]"
9003.TSE,Sotetsu Holdings Inc. ,Japan,Rail Transportation,1966,1780,98,97975504,JPY,"[]"
2313.TW,Compeq Manufacturing Co. Ltd. ,Taiwan,Electronic Components,1962,2243,1192,1191820032,TWD,"[tech-100]"
6755.TSE,Fujitsu General Limited ,Japan,Household Appliances,1960,2463,105,104708000,JPY,"[]"
4203.TSE,Sumitomo Bakelite Company Limited ,Japan,Specialty Chemicals,1959,1961,47,46646000,JPY,"[]"
1973.TSE,NEC Networks & System Integration Corporation ,Japan,IT Consulting and Other Services,1957,2247,149,148954000,JPY,"[]"
6592.TSE,Mabuchi Motor Co. Ltd. ,Japan,Electrical Components and Equipment,1952,1151,65,65186500,JPY,"[]"
2915.TW,Ruentex Industries Limited ,Taiwan,Textiles,1950,89,1068,1067729984,TWD,"[]"
068760.KQ,Celltrion Pharm Inc. ,South Korea,Pharmaceuticals,1949,298,40,34052500,KRW,"[]"
4194.TSE,Visional Inc. ,Japan,Human Resource and Employment Services,1927,396,39,39062700,JPY,"[]"
6531.TW,AP Memory Technology Corporation ,Taiwan,Semiconductors,1925,123,162,161858000,TWD,"[]"
8570.TSE,AEON Financial Service Co. Ltd. ,Japan,Consumer Finance,1908,3128,216,215858000,JPY,"[consumer-50]"
8334.TSE,The Gunma Bank Ltd. ,Japan,Regional Banks,1904,1121,397,397075008,JPY,"[]"
1942.TSE,Kandenko Co.Ltd. ,Japan,Construction and Engineering,1899,3813,204,204350000,JPY,"[]"
3471.TSE,Mitsui Fudosan Logistics Park Inc. ,Japan,Industrial REITs,1893,158,1,576000,JPY,"[]"
5344.TSE,Maruwa Co.Ltd. ,Japan,Electronic Components,1892,398,12,12337200,JPY,"[tech-100]"
1503.TW,Shihlin Electric & Engineering Corp. ,Taiwan,Heavy Electrical Equipment,1869,1028,521,520972000,TWD,"[]"
4921.TSE,Fancl Corporation ,Japan,Personal Care Products,1859,727,121,120923000,JPY,"[consumer-50]"
2337.TW,Macronix International Co. Ltd. ,Taiwan,Semiconductors,1822,1126,1854,1853869952,TWD,"[]"
6807.TSE,Japan Aviation Electronics Industry Limited ,Japan,Electronic Components,1816,1599,91,91100496,JPY,"[tech-100]"
002790.KO,AMOREPACIFIC Group ,South Korea,Personal Care Products,1814,3224,90,76259504,KRW,"[consumer-50]"
403870.KQ,HPSP Co. Ltd. ,South Korea,Semiconductor Materials and Equipment,1806,150,81,0,KRW,"[tech-100,semiconductors-25]"
052690.KO,KEPCO Engineering & Construction Company Inc. ,South Korea,Construction and Engineering,1805,403,38,38043500,KRW,"[]"
3234.TSE,Mori Hills REIT Investment Corporation ,Japan,Office REITs,1804,159,2,1916330,JPY,"[]"
214150.KQ,CLASSYS Inc. ,South Korea,Health Care Equipment,1799,120,64,0,KRW,"[]"
282330.KO,BGF retail CO. LTD. ,South Korea,Food Retail,1798,6038,17,17275000,KRW,"[consumer-50]"
6770.TSE,Alps Alpine Co. Ltd. ,Japan,Electronic Components,1797,6547,206,205479008,JPY,"[tech-100]"
9090.TSE,AZ-COM MARUWA Holdings Inc. ,Japan,Air Freight and Logistics,1793,1275,126,125850000,JPY,"[]"
1722.TW,Taiwan Fertilizer Co. Ltd. ,Taiwan,Fertilizers and Agricultural Chemicals,1793,472,980,980000000,TWD,"[]"
8967.TSE,Japan Logistics Fund Inc. ,Japan,Industrial REITs,1787,152,1,934000,JPY,"[]"
3107.TSE,Daiwabo Holdings Co. Ltd. ,Japan,Technology Distributors,1785,6417,94,93464496,JPY,"[]"
3466.TSE,LaSalle LOGIPORT REIT ,Japan,Industrial REITs,1780,160,2,1863850,JPY,"[]"
6728.TSE,ULVAC Inc. ,Japan,Semiconductor Materials and Equipment,1780,1574,49,49248700,JPY,"[tech-100,semiconductors-25]"
6176.TW,Radiant Opto-Electronics Corporation ,Taiwan,Semiconductors,1776,1744,465,465027008,TWD,"[]"
4401.TSE,Adeka Corporation ,Japan,Commodity Chemicals,1775,2740,103,102504000,JPY,"[]"
7458.TSE,Daiichikosho Co. Ltd. ,Japan,Movies and Entertainment,1766,922,108,107194000,JPY,"[entertainment-100]"
5471.TSE,Daido Steel Co. Ltd. ,Japan,Steel,1765,4031,43,42625800,JPY,"[]"
2227.TW,Yulon Nissan Motor Co. Ltd ,Taiwan,Automobile Manufacturers,1747,802,300,300000000,TWD,"[]"
2206.TSE,Ezaki Glico Co. Ltd. ,Japan,Packaged Foods and Meats,1746,2199,64,63590800,JPY,"[]"
3941.TSE,Rengo Co. Ltd. ,Japan,Paper and Plastic Packaging Products and Materials,1736,6015,248,247690000,JPY,"[]"
8961.TSE,MORI TRUST REIT Inc. ,Japan,Diversified REITs,1733,102,4,3560000,JPY,"[]"
1802.TW,Taiwan Glass Ind. Corp. ,Taiwan,Building Products,1725,1337,2908,2908059904,TWD,"[]"
7071.TSE,Amvis Holdings Inc. ,Japan,Health Care Facilities,1718,205,98,97997296,JPY,"[]"
4118.TSE,Kaneka Corporation ,Japan,Commodity Chemicals,1714,5158,65,64893700,JPY,"[]"
3994.TSE,Money Forward Inc. ,Japan,Application Software,1712,184,54,54095800,JPY,"[tech-100]"
272210.KO,Hanwha Systems Co. Ltd. ,South Korea,Aerospace and Defense,1693,1745,187,186992992,KRW,"[]"
5301.TSE,Tokai Carbon Co. Ltd. ,Japan,Commodity Chemicals,1688,2502,213,213195008,JPY,"[]"
4208.TSE,UBE Corporation ,Japan,Diversified Chemicals,1686,3374,97,97040600,JPY,"[]"
8174.TSE,Nippon Gas Co. Ltd. ,Japan,Gas Utilities,1684,1454,114,113473000,JPY,"[]"
1907.TW,YFY Inc. ,Taiwan,Paper Products,1678,2419,1660,1660370048,TWD,"[]"
2204.TW,China Motor Corporation ,Taiwan,Automobile Manufacturers,1676,1079,554,553619968,TWD,"[]"
9449.TSE,GMO internet group Inc. ,Japan,Internet Services and Infrastructure,1675,1730,106,106161000,JPY,"[tech-100]"
3282.TSE,Comforia Residential REIT Inc ,Japan,Multi-Family Residential REITs,1669,147,1,715982,JPY,"[]"
2264.TSE,Morinaga Milk Industry Co. Ltd. ,Japan,Packaged Foods and Meats,1669,3701,44,44110900,JPY,"[]"
7189.TSE,Nishi-Nippon Financial Holdings Inc. ,Japan,Regional Banks,1654,1023,142,141495008,JPY,"[]"
008930.KO,Hanmi Science Co. Ltd. ,South Korea,Pharmaceuticals,1653,871,68,67996096,KRW,"[]"
8986.TSE,Daiwa Securities Living Investment Corporation ,Japan,Multi-Family Residential REITs,1653,179,2,2260890,JPY,"[]"
8876.TSE,Relo Group Inc. ,Japan,Real Estate Services,1643,872,153,152854000,JPY,"[]"
8282.TSE,K's Holdings Corporation ,Japan,Computer and Electronics Retail,1641,5025,178,176644000,JPY,"[consumer-50]"
328130.KQ,Lunit Inc. ,South Korea,Health Care Technology,1640,19,12,0,KRW,"[]"
8341.TSE,The 77 Bank Ltd. ,Japan,Regional Banks,1636,870,74,73987696,JPY,"[]"
138930.KO,BNK Financial Group Inc. ,South Korea,Regional Banks,1628,3832,322,322088000,KRW,"[]"
9914.TW,Merida Industry Co. Ltd. ,Taiwan,Leisure Products,1625,1151,299,298984000,TWD,"[consumer-50]"
2531.TSE,Takara Holdings Inc. ,Japan,Distillers and Vintners,1623,2451,198,197704992,JPY,"[consumer-50]"
3278.TSE,Kenedix Residential Next Investment Corporation ,Japan,Multi-Family Residential REITs,1616,141,1,1070430,JPY,"[]"
2634.TW,Aerospace Industrial Development Corporation ,Taiwan,Aerospace and Defense,1606,1174,942,941867008,TWD,"[]"
2296.TSE,Itoham Yonekyu Holdings Inc. ,Japan,Packaged Foods and Meats,1605,6487,57,56965700,JPY,"[]"
7581.TSE,Saizeriya Co.Ltd. ,Japan,Restaurants,1595,1210,49,48700900,JPY,"[]"
6436.TSE,Amano Corporation ,Japan,Electronic Equipment and Instruments,1595,948,72,71975600,JPY,"[tech-100]"
4061.TSE,Denka Company Limited ,Japan,Commodity Chemicals,1595,2774,86,86229800,JPY,"[]"
6432.TSE,Takeuchi Mfg. Co. Ltd. ,Japan,Construction Machinery and Heavy Transportation Equipment,1591,1357,48,47745100,JPY,"[]"
4681.TSE,Resorttrust Inc. ,Japan,Hotels Resorts and Cruise Lines,1585,1194,106,107557000,JPY,"[]"
088350.KO,Hanwha Life Insurance Co. Ltd. ,South Korea,Life and Health Insurance,1583,24382,751,751390016,KRW,"[]"
6147.TWO,Chipbond Technology Corporation ,Taiwan,Semiconductors,1577,664,745,738675968,TWD,"[]"
6740.TSE,Japan Display Inc. ,Japan,Electronic Components,1575,1844,6189,3880389888,JPY,"[tech-100]"
9605.TSE,Toei Company Ltd. ,Japan,Movies and Entertainment,1572,1268,12,12381500,JPY,"[entertainment-100]"
111770.KO,Youngone Corporation ,South Korea,Apparel Accessories and Luxury Goods,1565,3073,44,43866100,KRW,"[consumer-50]"
2127.TSE,Nihon M&A Center Holdings Inc. ,Japan,Research and Consulting Services,1564,280,324,324184000,JPY,"[]"
042670.KO,HD Hyundai Infracore Co. Ltd. ,South Korea,Construction Machinery and Heavy Transportation Equipment,1561,3808,200,199539008,KRW,"[]"
6055.TSE,JAPAN MATERIAL Co. Ltd. ,Japan,Semiconductor Materials and Equipment,1554,318,103,102652000,JPY,"[tech-100,semiconductors-25]"
5904.TWO,POYA International Co. Ltd. ,Taiwan,Broadline Retail,1549,673,104,103204000,TWD,"[consumer-50]"
293490.KQ,Kakao Games Corp. ,South Korea,Interactive Home Entertainment,1534,807,82,0,KRW,"[consumer-50]"
7518.TSE,Net One Systems Co. Ltd. ,Japan,IT Consulting and Other Services,1531,1492,82,81572096,JPY,"[]"
7762.TSE,Citizen Watch Co. Ltd. ,Japan,Electronic Equipment and Instruments,1528,2094,244,243823008,JPY,"[tech-100]"
3706.TW,MiTAC Holdings Corporation ,Taiwan,Technology Hardware Storage and Peripherals,1527,1420,1207,1206560000,TWD,"[]"
3295.TSE,Hulic Reit Inc. ,Japan,Diversified REITs,1526,163,1,1440000,JPY,"[]"
000990.KO,DB HiTek CO. LTD. ,South Korea,Semiconductors,1524,1102,42,41671900,KRW,"[]"
036460.KO,Korea Gas Corporation ,South Korea,Gas Utilities,1514,41721,86,85827000,KRW,"[]"
6134.TSE,Fuji Corporation ,Japan,Industrial Machinery and Supplies and Components,1504,1018,96,94636600,JPY,"[]"
6951.TSE,JEOL Ltd. ,Japan,Health Care Equipment,1499,1124,51,51061400,JPY,"[]"
030000.KO,Cheil Worldwide Inc. ,South Korea,Advertising,1499,3222,101,101279000,KRW,"[]"
5384.TSE,Fujimi Incorporated ,Japan,Specialty Chemicals,1493,391,74,74185504,JPY,"[]"
023530.KO,Lotte Shopping Co. Ltd. ,South Korea,Broadline Retail,1492,11379,28,28270600,KRW,"[consumer-50]"
2845.TW,Far Eastern International Bank Ltd. ,Taiwan,Diversified Banks,1472,382,4070,4069479936,TWD,"[]"
9507.TSE,Shikoku Electric Power Company Incorporated ,Japan,Electric Utilities,1463,5862,206,205647008,JPY,"[]"
9759.TSE,NSD Co. Ltd. ,Japan,IT Consulting and Other Services,1455,577,77,76867904,JPY,"[]"
204320.KO,HL Mando Corporation ,South Korea,Automotive Parts and Equipment,1454,6251,47,46957100,KRW,"[]"
6412.TSE,Heiwa Corporation ,Japan,Leisure Facilities,1449,986,99,98628496,JPY,"[consumer-50]"
4114.TSE,Nippon Shokubai Co. Ltd. ,Japan,Specialty Chemicals,1443,2804,39,39313500,JPY,"[]"
3148.TSE,Create SD Holdings Co. Ltd. ,Japan,Drug Retail,1439,2727,63,63218500,JPY,"[consumer-50]"
1319.TW,Tong Yang Industry Co. Ltd. ,Taiwan,Automotive Parts and Equipment,1438,706,592,591476992,TWD,"[]"
7994.TSE,Okamura Corporation ,Japan,Office Services and Supplies,1435,1967,95,94648896,JPY,"[]"
5032.TSE,ANYCOLOR Inc. ,Japan,Movies and Entertainment,1434,200,63,62321200,JPY,"[entertainment-100]"
4587.TSE,PeptiDream Inc. ,Japan,Biotechnology,1417,216,130,129831000,JPY,"[]"
5832.TSE,Chugin Financial GroupInc. ,Japan,Regional Banks,1416,890,184,183760000,JPY,"[]"
012750.KO,S-1 Corporation ,South Korea,Security and Alarm Services,1412,1923,34,33810200,KRW,"[]"
9744.TSE,Meitec Corporation ,Japan,Human Resource and Employment Services,1412,842,78,78422000,JPY,"[]"
6925.TSE,Ushio Inc. ,Japan,Electrical Components and Equipment,1395,1207,114,114496000,JPY,"[]"
3880.TSE,Daio Paper Corporation ,Japan,Paper Products,1392,4571,166,166196000,JPY,"[]"
7616.TSE,Colowide Co.Ltd. ,Japan,Restaurants,1386,1569,87,86679600,JPY,"[]"
8242.TSE,H2O Retailing Corporation ,Japan,Food Retail,1385,4382,115,115213000,JPY,"[consumer-50]"
6103.TSE,Okuma Corporation ,Japan,Industrial Machinery and Supplies and Components,1374,1583,31,30804100,JPY,"[]"
9072.TSE,NIKKON Holdings Co.Ltd. ,Japan,Cargo Ground Transportation,1372,1487,64,64129100,JPY,"[]"
3665.TW,Bizlink Holding Inc. ,Taiwan,Electrical Components and Equipment,1368,1727,163,163126000,TWD,"[]"
5903.TWO,Taiwan FamilyMart Co. Ltd. ,Taiwan,Food Retail,1366,3061,223,223220000,TWD,"[consumer-50]"
7956.TSE,Pigeon Corporation ,Japan,Household Products,1360,675,120,119657000,JPY,"[consumer-50]"
8585.TSE,Orient Corporation ,Japan,Consumer Finance,1355,1598,172,171518000,JPY,"[consumer-50]"
8086.TSE,Nipro Corporation ,Japan,Health Care Supplies,1314,3859,163,163096000,JPY,"[]"
2607.TSE,Fuji Oil Holdings Inc. ,Japan,Packaged Foods and Meats,1304,3877,86,85965400,JPY,"[]"
007660.KO,ISU Petasys Co. Ltd. ,South Korea,Electronic Components,1302,510,63,63246400,KRW,"[tech-100]"
7476.TSE,AS ONE Corporation ,Japan,Health Care Distributors,1300,641,36,36187900,JPY,"[]"
9303.TSE,The Sumitomo Warehouse Co. Ltd. ,Japan,Marine Ports and Services,1295,1392,79,79241504,JPY,"[]"
393890.KQ,W-Scope Chungju Plant Co. Ltd. ,South Korea,Electrical Components and Equipment,1293,221,34,0,KRW,"[]"
3406.TW,Genius Electronic Optical Co. Ltd ,Taiwan,Electronic Components,1289,607,113,112743000,TWD,"[tech-100]"
6523.TSE,PHC Holdings Corporation ,Japan,Health Care Equipment,1283,2464,126,125808000,JPY,"[]"
2809.TW,King's Town Bank ,Taiwan,Diversified Banks,1280,229,1111,1111229952,TWD,"[]"
047040.KO,Daewoo Engineering & Construction Co. Ltd. ,South Korea,Construction and Engineering,1275,8814,411,410886016,KRW,"[]"
005290.KQ,Dongjin Semichem Co. Ltd. ,South Korea,Specialty Chemicals,1275,1083,51,51414500,KRW,"[]"
3048.TSE,Bic Camera Inc. ,Japan,Computer and Electronics Retail,1273,5786,171,171164992,JPY,"[consumer-50]"
3481.TSE,Mitsubishi Estate Logistics REIT Investment Corporation ,Japan,Industrial REITs,1256,99,1,503485,JPY,"[]"
1417.TSE,MIRAIT ONE Corporation ,Japan,Construction and Engineering,1250,3383,95,94308496,JPY,"[]"
1719.TSE,Hazama Ando Corporation ,Japan,Construction and Engineering,1249,2639,157,156470000,JPY,"[]"
086900.KQ,Medy-Tox Inc. ,South Korea,Biotechnology,1237,152,7,5443740,KRW,"[]"
006740.KO,Young Poong Paper Mfg Co.Ltd. ,South Korea,Paper Products,1230,68,35,44168300,KRW,"[]"
009420.KO,Hanall Biopharma Co. Ltd. ,South Korea,Pharmaceuticals,1221,99,51,50693100,KRW,"[]"
2678.TSE,ASKUL Corporation ,Japan,Broadline Retail,1213,3097,98,97456400,JPY,"[consumer-50]"
7730.TSE,Mani Inc. ,Japan,Health Care Supplies,1213,173,99,98497000,JPY,"[]"
6469.TWO,Great Tree Pharmacy Co. Ltd. ,Taiwan,Drug Retail,1202,491,111,110427000,TWD,"[consumer-50]"
003620.KO,KG Mobility Corp. ,South Korea,Automobile Manufacturers,1191,3107,187,186956000,KRW,"[]"
7327.TSE,Daishi Hokuetsu Financial Group Inc. ,Japan,Regional Banks,1183,904,45,44933000,JPY,"[]"
8098.TSE,Inabata & Co.Ltd. ,Japan,Trading Companies and Distributors,1181,5091,56,55842200,JPY,"[]"
8130.TSE,Sangetsu Corporation ,Japan,Home Furnishings,1165,1263,59,58680700,JPY,"[]"
8987.TSE,Japan Excellent Inc. ,Japan,Office REITs,1165,175,1,1337600,JPY,"[]"
8133.TSE,Itochu Enex Co.Ltd. ,Japan,Oil and Gas Refining and Marketing,1155,6788,113,112855000,JPY,"[]"
3453.TSE,Kenedix Retail REIT Corporation ,Japan,Retail REITs,1154,145,1,602177,JPY,"[]"
7412.TSE,ATOM Corporation ,Japan,Restaurants,1153,248,193,193106000,JPY,"[]"
6425.TSE,Universal Entertainment Corporation ,Japan,Leisure Products,1152,1134,78,77484000,JPY,"[consumer-50]"
4043.TSE,Tokuyama Corporation ,Japan,Specialty Chemicals,1151,2439,72,71951296,JPY,"[]"
6136.TSE,OSG Corporation ,Japan,Industrial Machinery and Supplies and Components,1151,1039,96,95941400,JPY,"[]"
8194.TSE,Life Corporation ,Japan,Food Retail,1150,5551,47,47012200,JPY,"[consumer-50]"
